words,ocurrences
panic,57
fear,741
sad,237
mental,209
mind,192
sorry,161
shame,147
hate,128
hell,184
bad,444
feel,340
feeling,144
shit,255
worst,238
worse,341
blame,208
lonely,9
chaos,222
mad,37
ruined,20
anxiety,60
stress,71
stressed,8
phobia,5
shame,147
hurt,34
disorder,11
loneliness,18
turmoil,1
anger,21
horror,12
rage,20
fate,8
nervous,9
restless,3
depression,49
grief,26
worry,134
worried,207
angst,1
depressed,14
suicide,43
suffer,100
suffering,185
uncertainty,29
uneasy,1
sadness,10
afraid,122
alone,285
suicidal,8
mood,15
tension,8
anxious,18
desperate,46
dismal,5
exhausted,25
insecure,1
distress,15
distressed,1
frustration,21
disgusting,87
boredom,3
bored,10
insane,51
stupidity,105
bullshit,98
uncertain,10
displeased,1
uncomfortable,7
melancholy,1
overwhelmed,38
pessimistic,2
unhappy,4
upset,18
outrage,26
ass,70
damn,117
covidiot,21
terrify,0
terrified,18
terrifying,14
distrust,18
scare,54
scared,90
scaring,5
dread,6
failed,173
failed,173
failure,179
fuck,214
fucking,186
miserable,46
regret,10
shock,29
shocked,34
negligence,26
betrayed,4
cry,23
crying,17
idiot,91
idiots,120
selfish,85
upheaval,1
mess,56
crisis,485
horrible,47
violence,121
abuse,75
rape,11
stupid,295
