words,ocurrences
panic,211
fear,1099
sad,910
mental,893
mind,828
sorry,785
shame,519
hate,479
hell,670
bad,1751
feel,1440
feeling,622
shit,1440
worst,882
worse,1382
blame,673
lonely,41
chaos,249
mad,225
ruined,109
anxiety,306
stress,361
stressed,84
phobia,2
shame,519
hurt,193
disorder,33
loneliness,53
turmoil,19
anger,122
horror,125
rage,98
fate,58
nervous,65
restless,4
depression,143
grief,85
worry,624
worried,891
angst,7
depressed,43
suicide,199
suffer,260
suffering,555
uncertainty,237
uneasy,3
sadness,43
afraid,239
alone,662
suicidal,20
mood,69
tension,18
anxious,98
desperate,198
dismal,14
exhausted,117
insecure,12
distress,51
distressed,6
frustration,108
disgusting,256
boredom,12
bored,63
insane,201
stupidity,202
bullshit,364
uncertain,72
displeased,1
uncomfortable,43
melancholy,1
overwhelmed,543
pessimistic,10
unhappy,22
upset,90
outrage,76
ass,354
damn,613
covidiot,122
terrify,4
terrified,65
terrifying,173
distrust,31
scare,141
scared,285
scaring,12
dread,26
failed,749
failed,749
failure,588
fuck,1411
fucking,1473
miserable,58
regret,47
shock,116
shocked,170
negligence,132
betrayed,12
cry,124
crying,112
idiot,435
idiots,423
selfish,327
upheaval,13
mess,401
crisis,2495
horrible,209
violence,242
abuse,257
rape,20
stupid,789
