words,ocurrences
panic,49
fear,244
sad,145
mental,280
mind,150
sorry,213
shame,114
hate,111
hell,184
bad,324
feel,307
feeling,140
shit,254
worst,223
worse,258
blame,116
lonely,5
chaos,83
mad,35
ruined,14
anxiety,85
stress,80
stressed,21
phobia,3
shame,114
hurt,41
disorder,28
loneliness,11
turmoil,5
anger,19
horror,34
rage,8
fate,9
nervous,14
restless,0
depression,56
grief,25
worry,109
worried,67
angst,1
depressed,13
suicide,41
suffer,66
suffering,158
uncertainty,39
uneasy,0
sadness,8
afraid,69
alone,118
suicidal,6
mood,15
tension,5
anxious,13
desperate,28
dismal,3
exhausted,8
insecure,7
distress,20
distressed,0
frustration,4
disgusting,117
boredom,3
bored,12
insane,49
stupidity,60
bullshit,86
uncertain,12
displeased,0
uncomfortable,3
melancholy,1
overwhelmed,56
pessimistic,1
unhappy,0
upset,18
outrage,22
ass,90
damn,122
covidiot,12
terrify,3
terrified,10
terrifying,13
distrust,7
scare,38
scared,44
scaring,7
dread,3
failed,186
failed,186
failure,171
fuck,210
fucking,164
miserable,9
regret,21
shock,46
shocked,32
negligence,27
betrayed,1
cry,36
crying,24
idiot,84
idiots,82
selfish,45
upheaval,1
mess,48
crisis,759
horrible,52
violence,90
abuse,82
rape,12
stupid,252
