word,count
the,150788
to,104328
covid,87380
of,76619
19,72931
in,68797
and,68608
is,46133
for,43319
covid19,39392
you,33630
are,31708
it,29508
on,28407
this,27131
that,25504
as,23079
vaccine,22466
with,22070
have,19862
people,19804
coronavirus,19081
not,18068
be,17707
from,17648
cases,17012
we,16963
they,16715
at,16151
who,15627
by,14835
get,14558
new,14188
will,13685
amp,13533
has,13206
all,13142
vaccinated,12837
more,12617
can,11820
about,11321
your,11056
whatshappeninginmyanmar,10904
if,10837
or,10598
2021,10287
but,9923
what,9817
was,9808
pandemic,9403
us,9314
so,9240
how,9181
no,9077
out,9073
health,8834
now,8741
their,8594
been,8311
up,8263
vaccines,8152
our,7859
july29coup,7799
do,7726
just,7626
an,7354
there,6962
vaccination,6840
my,6805
re,6752
over,6659
like,6591
capacity,6442
07,6394
one,6377
than,6347
don,6278
he,6198
against,6037
delta,6007
why,5834
after,5809
myanmar,5768
today,5631
mask,5602
oxygen,5578
here,5549
variant,5460
when,5409
july,5398
because,5288
news,5283
via,5243
deaths,5214
virus,5176
time,5030
need,4968
know,4933
were,4898
should,4816
crisis,4808
help,4670
still,4591
these,4576
29,4573
had,4549
18,4520
state,4454
available,4445
ko,4395
them,4387
masks,4243
terrorists,4230
biden,4206
sac,4168
cdc,4149
some,4142
30,4129
also,4098
government,4084
please,4075
many,4029
me,4008
age,3972
its,3966
even,3919
would,3901
those,3898
his,3895
getting,3889
day,3862
year,3814
only,3808
positive,3802
into,3783
says,3776
being,3743
data,3701
other,3675
world,3646
going,3632
stop,3589
said,3543
go,3516
take,3510
cowin,3508
junta,3507
spread,3473
children,3434
first,3431
back,3404
make,3396
country,3346
uses,3340
unvaccinated,3330
dreadfulcovidamidmilitarycoup,3279
myanmarcovidsos,3275
public,3267
see,3266
weapons,3255
covishield,3252
patients,3247
last,3243
dates,3215
000,3211
during,3181
limit,3176
any,3176
min,3140
sacwantscoviduncontrollable,3137
test,3132
again,3130
good,3115
every,3098
pune,3095
india,3088
pin,3085
dose1,3051
dose2,3050
vaccinepune,3050
could,3040
shot,3016
testing,3012
want,3010
right,2973
pfizer,2953
fully,2935
which,2921
work,2915
florida,2897
due,2856
lockdown,2841
care,2832
looting,2830
well,2797
military,2793
risk,2758
hospital,2742
since,2700
think,2691
most,2673
continue,2666
ve,2639
before,2628
dose,2613
may,2599
daily,2587
100,2587
let,2585
death,2572
number,2570
where,2560
week,2557
rate,2553
got,2547
workers,2545
read,2543
while,2520
did,2499
then,2498
safe,2492
her,2487
outbreak,2482
way,2482
say,2479
days,2463
find,2459
ugandans,2448
federal,2447
case,2422
infections,2417
states,2405
high,2393
31,2388
she,2388
another,2384
two,2373
wear,2342
current,2312
long,2312
rise,2303
down,2280
reports,2267
rapporteurun,2263
very,2261
medical,2249
fight,2244
village,2235
reported,2225
really,2220
school,2215
using,2206
latest,2206
too,2174
thursday,2167
keep,2161
much,2148
does,2144
yourself,2142
county,2135
surge,2114
already,2113
everyone,2112
update,2099
months,2095
watch,2092
president,2080
tested,2065
must,2060
amid,2059
live,2058
under,2058
employees,2052
helping,2050
10,2014
2020,2007
uk,2000
trump,1995
pmc,1986
life,1955
free,1942
million,1921
support,1916
wave,1897
yet,1894
never,1894
dr,1893
same,1882
science,1870
olympics,1863
doesn,1861
students,1859
restrictions,1855
china,1851
tests,1849
study,1847
mandate,1845
report,1839
give,1833
home,1828
died,1825
vaccinations,1824
alberta,1823
use,1818
protect,1805
taungoo,1796
record,1783
abducted,1783
around,1780
begs,1772
until,1757
12,1753
off,1744
through,1736
next,1731
community,1728
am,1725
45,1715
end,1713
volunteer,1713
variants,1693
disease,1687
khant,1682
ll,1679
doses,1676
imported,1673
disney,1670
zin,1663
charities,1661
family,1656
second,1656
tokyo,1653
deltavariant,1640
americans,1633
look,1632
team,1630
across,1628
50,1627
numbers,1624
tanks,1623
media,1620
better,1596
come,1593
money,1586
kids,1581
effective,1576
anti,1573
information,1570
global,1570
infection,1568
research,1567
total,1565
response,1565
24,1564
great,1561
kerala,1559
patient,1552
rising,1537
business,1535
won,1525
lives,1521
die,1516
hospitals,1512
local,1512
city,1508
made,1500
month,1491
including,1490
travel,1486
third,1481
increase,1469
years,1450
infected,1449
region,1448
flu,1443
require,1442
population,1440
show,1440
weeks,1437
coming,1432
face,1426
thanks,1426
symptoms,1421
start,1419
thing,1415
less,1414
shit,1411
among,1406
social,1398
without,1397
stay,1393
doing,1388
tool,1380
didn,1379
voted,1377
ugandaisbleeding,1375
man,1373
control,1373
immunity,1369
15,1365
rules,1364
coup,1352
campaign,1346
per,1346
covidisnotover,1339
real,1331
least,1327
full,1326
best,1326
times,1324
countries,1321
mandates,1320
enough,1318
anyone,1312
others,1309
hrw,1309
onto,1303
gov,1302
according,1300
officials,1293
staff,1292
sure,1290
fda,1288
