words,ocurrences
panic,108
fear,486
sad,284
mental,463
mind,362
sorry,279
shame,182
hate,374
hell,329
bad,830
feel,707
feeling,284
shit,596
worst,487
worse,858
blame,275
lonely,34
chaos,77
mad,70
ruined,71
anxiety,190
stress,237
stressed,95
phobia,2
shame,182
hurt,114
disorder,64
loneliness,18
turmoil,13
anger,30
horror,22
rage,15
fate,26
nervous,34
restless,2
depression,80
grief,52
worry,275
worried,284
angst,3
depressed,17
suicide,73
suffer,392
suffering,268
uncertainty,70
uneasy,4
sadness,12
afraid,147
alone,291
suicidal,4
mood,23
tension,14
anxious,39
desperate,64
dismal,4
exhausted,35
insecure,10
distress,21
distressed,5
frustration,26
disgusting,77
boredom,3
bored,33
insane,95
stupidity,69
bullshit,164
uncertain,33
displeased,0
uncomfortable,11
melancholy,0
overwhelmed,72
pessimistic,8
unhappy,8
upset,45
outrage,22
ass,211
damn,289
covidiot,58
terrify,0
terrified,24
terrifying,34
distrust,11
scare,90
scared,165
scaring,10
dread,52
failed,326
failed,326
failure,860
fuck,716
fucking,471
miserable,17
regret,20
shock,56
shocked,68
negligence,72
betrayed,12
cry,60
crying,56
idiot,142
idiots,139
selfish,92
upheaval,3
mess,127
crisis,1277
horrible,86
violence,143
abuse,81
rape,10
stupid,387
