words,ocurrences
panic,69
fear,233
sad,131
mental,310
mind,245
sorry,166
shame,91
hate,108
hell,143
bad,415
feel,335
feeling,116
shit,233
worst,190
worse,297
blame,186
lonely,7
chaos,47
mad,35
ruined,11
anxiety,123
stress,114
stressed,13
phobia,1
shame,91
hurt,58
disorder,65
loneliness,6
turmoil,4
anger,25
horror,29
rage,5
fate,13
nervous,22
restless,1
depression,68
grief,42
worry,103
worried,102
angst,1
depressed,5
suicide,33
suffer,82
suffering,113
uncertainty,26
uneasy,0
sadness,3
afraid,55
alone,176
suicidal,2
mood,15
tension,5
anxious,18
desperate,41
dismal,2
exhausted,35
insecure,8
distress,18
distressed,1
frustration,16
disgusting,122
boredom,2
bored,9
insane,56
stupidity,59
bullshit,146
uncertain,17
displeased,1
uncomfortable,9
melancholy,1
overwhelmed,53
pessimistic,5
unhappy,4
upset,20
outrage,15
ass,64
damn,96
covidiot,7
terrify,0
terrified,7
terrifying,16
distrust,17
scare,59
scared,64
scaring,9
dread,2
failed,173
failed,173
failure,135
fuck,198
fucking,206
miserable,4
regret,47
shock,60
shocked,47
negligence,47
betrayed,2
cry,31
crying,17
idiot,85
idiots,79
selfish,70
upheaval,3
mess,62
crisis,641
horrible,47
violence,91
abuse,56
rape,12
stupid,230
