word,count
the,65026
to,43577
covid,37084
of,34690
19,32760
in,28677
and,26441
covid19,20238
for,18675
is,18577
on,12932
coronavirus,12295
are,11205
it,10969
you,10561
this,10218
that,10159
at,10072
vaccine,9824
with,9258
from,8676
have,8115
be,7660
cases,7545
as,7454
we,7222
by,6697
not,6642
people,6221
new,6167
amp,6139
more,5743
has,5593
will,5575
who,5488
all,5421
they,5317
pandemic,5204
your,4750
up,4706
vaccination,4560
can,4497
was,4462
but,4302
get,4158
if,4130
about,4089
no,4041
2021,4032
vaccines,3902
deaths,3747
what,3655
or,3589
so,3544
their,3449
health,3438
one,3369
us,3337
india,3305
now,3302
our,3289
over,3289
how,3211
out,3197
been,3098
news,3089
my,3088
vaccinated,3057
an,3027
he,2947
after,2902
do,2889
13,2872
help,2855
china,2742
world,2731
there,2702
just,2700
g7,2676
via,2669
june,2660
than,2592
doses,2575
available,2482
like,2446
year,2398
need,2320
06,2310
please,2288
when,2284
don,2269
here,2256
last,2240
virus,2191
against,2178
were,2141
due,2110
time,2092
still,2079
had,2062
why,2012
should,1954
during,1901
only,1895
today,1893
hospital,1889
know,1869
government,1865
his,1843
me,1810
day,1795
00,1793
many,1788
sign,1723
some,1717
says,1715
re,1702
appointments,1702
its,1682
near,1676
first,1655
countries,1652
10,1618
them,1610
12,1603
even,1591
may,1586
positive,1572
see,1554
very,1553
other,1520
cvs,1516
would,1498
also,1493
lockdown,1479
these,1473
which,1471
into,1434
because,1433
death,1423
uk,1408
good,1400
said,1393
leaders,1387
being,1378
daily,1349
lab,1349
total,1343
take,1340
spread,1338
reports,1335
most,1335
country,1316
those,1312
trump,1311
restrictions,1311
work,1302
14,1302
any,1301
state,1286
down,1284
rate,1263
could,1260
did,1251
children,1251
million,1243
make,1226
two,1226
2020,1223
days,1220
week,1213
since,1209
back,1208
data,1208
dr,1204
latest,1194
24,1192
free,1190
000,1168
go,1148
well,1125
test,1122
dose,1116
patients,1110
getting,1106
canada,1102
must,1098
long,1098
chinese,1090
corona,1087
before,1087
variant,1085
died,1074
risk,1074
reported,1072
where,1061
read,1047
wave,1038
number,1034
sunday,1032
care,1030
public,1024
then,1023
johnson,1013
global,1012
way,1009
billion,1008
let,1001
say,985
both,983
medical,980
want,977
cdc,971
right,970
going,969
stop,960
safe,950
update,949
mask,946
support,940
judge,935
got,932
think,929
made,927
months,927
live,921
second,916
end,913
much,912
times,909
wuhan,908
states,906
crisis,904
keep,889
life,884
her,883
ve,882
case,880
while,873
too,869
delta,868
pa,867
every,863
vaccinations,861
15,860
she,859
study,854
home,852
really,843
use,839
employees,837
fully,837
biden,836
workers,836
family,834
another,832
great,831
same,827
president,825
18,823
never,823
again,815
media,812
next,808
stay,807
everyone,796
through,796
under,795
11,795
am,792
share,789
100,788
years,782
disease,781
houston,777
testing,777
origins,776
report,770
thanks,768
open,767
tests,764
21,761
does,758
hours,754
tested,754
youtube,748
govt,745
lives,744
nations,738
around,737
enough,737
call,733
off,728
modi,721
travel,718
high,717
infections,710
fight,704
better,696
system,694
come,692
infection,691
yet,689
social,689
population,684
low,680
hope,680
md,680
already,678
didn,678
city,674
masks,670
across,670
school,670
business,669
evidence,668
research,666
updates,662
thank,661
post,661
find,661
follow,660
per,659
pm,657
give,657
face,651
ccp,650
capacity,650
man,649
big,648
change,645
income,645
far,644
including,643
pfizer,642
age,639
active,637
real,636
community,630
part,626
science,625
africa,624
least,622
fauci,621
start,621
information,618
weeks,617
such,616
continue,609
delhi,608
national,606
him,605
outbreak,602
leak,601
numbers,600
indian,600
look,600
until,600
team,598
response,596
boris,595
summit,594
away,593
full,590
received,590
symptoms,589
best,587
confirmed,584
minister,584
done,584
video,583
lost,583
covidvaccine,582
visit,581
treatment,580
80,576
important,575
needs,572
lawsuit,572
without,571
safety,571
money,570
recovery,569
father,569
doesn,568
among,567
gt,559
human,555
students,551
emergency,548
south,543
used,542
impact,538
tell,537
less,537
current,536
few,535
plan,535
top,534
shot,529
kids,526
20,525
taking,521
watch,515
called,514
heart,514
administered,513
usa,512
local,512
america,512
following,511
americans,511
almost,511
god,510
variants,508
won,508
truth,507
healthcare,507
others,506
doing,503
believe,501
dies,501
hospitals,500
old,500
online,499
federal,498
story,498
past,495
russia,495
further,494
love,494
australia,493
wife,493
doctors,492
ll,491
working,489
indiafightscorona,488
based,488
rs,486
related,484
ever,483
50,482
anti,482
protect,481
anyone,480
united,479
poor,479
blood,477
possible,477
check,474
ivermectin,473
shows,473
toll,471
25,468
group,466
article,466
soon,466
immunity,464
experts,464
according,464
own,464
show,463
save,462
sure,462
project,462
sources,462
rules,461
situation,459
cause,458
control,456
yes,454
effective,453
effects,451
16,449
official,446
measures,446
ontario,445
pledge,444
women,444
vaccinate,444
making,443
borisjohnson,442
coming,441
dead,439
rates,438
three,436
shots,436
young,436
third,436
job,435
former,434
thing,433
nothing,432
rise,431
infected,430
always,429
put,429
place,429
likely,428
amid,427
found,427
recoveries,426
between,425
become,425
2nd,424
things,423
fail,420
pay,420
economy,419
die,418
market,418
access,417
singh,417
saturday,416
given,416
jab,415
astrazeneca,414
came,414
investigation,412
person,411
fact,411
sars,411
doctor,408
flu,407
england,407
something,404
provide,403
spreading,403
below,403
nation,403
district,402
lead,401
meeting,400
lowest,397
county,397
valuable,397
friends,396
origin,396
staff,394
17,393
yesterday,393
45,392
having,391
increase,391
surplus,391
happy,390
remember,389
rights,389
isn,389
citizens,388
economic,387
looking,387
announced,386
link,386
sir,385
vax,385
narendramodi,385
schools,385
theory,384
scientists,384
true,383
food,382
wrong,382
nirmal,382
kidneys,381
lot,380
education,380
everything,380
breaking,380
someone,378
book,378
areas,378
2019,377
spike,376
families,374
policy,373
using,373
dialysis,373
30,372
gets,372
milkha,372
learn,371
pmcaresfund,371
oh,369
calls,368
order,368
summer,368
hard,368
retweetmy,366
gpay,366
8779893273,366
mrna,365
pmoindia,365
records,365
centre,363
side,362
ministry,362
american,361
international,359
details,359
quarantine,358
different,356
probe,355
month,355
set,355
parents,354
millions,354
info,354
join,353
issues,352
70,352
positivity,352
drug,351
dismisses,350
party,349
normal,349
23,349
source,348
early,348
despite,347
affected,347
trying,346
guidelines,346
saying,345
reporting,345
wear,344
climate,344
recorded,343
oxygen,342
future,341
healthy,339
bad,338
might,337
prime,336
surge,334
left,332
march,331
private,331
donate,330
point,330
residents,330
entire,329
rest,329
actually,328
half,327
wait,326
date,325
yourself,324
ago,322
together,322
else,322
seems,321
chief,320
behind,320
started,320
euro2020,320
fear,319
within,319
poorer,319
seen,317
dangerous,317
hit,317
drive,317
makes,317
results,317
killed,316
loss,315
thread,315
cov,314
cancelo,313
sharing,312
contact,312
feel,312
ones,312
level,310
jun,308
administration,308
told,308
non,308
morning,307
covid_19,306
officials,304
close,304
taken,304
register,303
ask,302
protection,302
deadly,300
brazil,300
maybe,299
covaxin,299
july,299
nearly,299
recovered,298
patient,297
helped,297
fighting,296
834,296
able,296
four,296
prevent,296
understand,295
closed,295
fresh,295
higher,295
cnn,295
cover,295
once,295
severe,295
services,295
sick,294
1st,294
60,294
lies,294
rt,293
mean,293
term,293
etc,292
hold,292
03,292
especially,292
victoria,291
unvaccinated,291
potus,290
needed,290
seven,290
26,289
additional,288
took,288
though,287
donating,287
hands,286
military,286
fall,286
worldwide,286
limit,286
portugal,286
small,284
means,284
step,282
giving,282
war,280
bring,280
monday,280
thought,279
immune,279
twitter,279
win,279
currently,279
highest,278
required,277
members,277
remain,277
single,276
adults,276
wearing,276
lockdowns,275
key,275
pakistan,275
businesses,275
moderna,275
police,274
issue,274
problem,273
serious,273
question,273
result,273
child,273
till,272
inflammation,272
election,272
conspiracy,272
relief,271
fake,270
anything,270
reason,270
list,270
claims,269
common,269
delay,269
led,269
whether,268
each,267
fda,267
act,267
caused,267
decision,266
pune,266
department,266
min,265
japan,264
complications,264
self,264
instead,263
political,263
little,263
27,263
mass,262
plans,261
house,261
happen,261
york,261
dates,261
freedom,260
distancing,260
demand,259
note,259
texas,259
air,259
avoid,259
april,256
shit,256
nigeria,256
mortality,255
dying,255
known,255
history,255
kill,254
university,254
allowed,254
complete,253
29,253
area,253
app,252
covid19india,252
trudeau,252
action,252
humans,252
