words,ocurrences
panic,96
fear,536
sad,359
mental,444
mind,271
sorry,290
shame,164
hate,503
hell,238
bad,669
feel,614
feeling,226
shit,416
worst,386
worse,492
blame,322
lonely,15
chaos,84
mad,83
ruined,32
anxiety,153
stress,137
stressed,31
phobia,2
shame,164
hurt,111
disorder,24
loneliness,52
turmoil,19
anger,71
horror,26
rage,23
fate,18
nervous,29
restless,7
depression,87
grief,49
worry,352
worried,165
angst,0
depressed,18
suicide,278
suffer,421
suffering,282
uncertainty,58
uneasy,4
sadness,20
afraid,139
alone,292
suicidal,10
mood,39
tension,8
anxious,24
desperate,59
dismal,5
exhausted,40
insecure,2
distress,23
distressed,2
frustration,19
disgusting,117
boredom,7
bored,25
insane,76
stupidity,162
bullshit,134
uncertain,34
displeased,1
uncomfortable,14
melancholy,0
overwhelmed,74
pessimistic,1
unhappy,17
upset,48
outrage,24
ass,160
damn,239
covidiot,45
terrify,2
terrified,18
terrifying,39
distrust,9
scare,48
scared,110
scaring,8
dread,8
failed,325
failed,325
failure,341
fuck,417
fucking,364
miserable,18
regret,19
shock,46
shocked,47
negligence,49
betrayed,6
cry,46
crying,49
idiot,152
idiots,232
selfish,162
upheaval,2
mess,126
crisis,1144
horrible,84
violence,250
abuse,111
rape,26
stupid,484
