words,ocurrences
panic,225
fear,1096
sad,964
mental,990
mind,557
sorry,515
shame,383
hate,470
hell,540
bad,1380
feel,1092
feeling,358
shit,963
worst,1345
worse,985
blame,560
lonely,35
chaos,204
mad,163
ruined,90
anxiety,406
stress,474
stressed,82
phobia,3
shame,383
hurt,236
disorder,39
loneliness,81
turmoil,39
anger,54
horror,56
rage,31
fate,58
nervous,147
restless,3
depression,488
grief,127
worry,405
worried,394
angst,5
depressed,29
suicide,205
suffer,196
suffering,422
uncertainty,288
uneasy,4
sadness,33
afraid,251
alone,666
suicidal,19
mood,45
tension,25
anxious,76
desperate,166
dismal,4
exhausted,44
insecure,15
distress,77
distressed,9
frustration,50
disgusting,230
boredom,5
bored,48
insane,147
stupidity,219
bullshit,313
uncertain,104
displeased,3
uncomfortable,29
melancholy,2
overwhelmed,97
pessimistic,10
unhappy,13
upset,111
outrage,77
ass,337
damn,484
covidiot,52
terrify,1
terrified,39
terrifying,56
distrust,34
scare,153
scared,178
scaring,20
dread,29
failed,930
failed,930
failure,693
fuck,879
fucking,742
miserable,22
regret,38
shock,155
shocked,127
negligence,116
betrayed,12
cry,75
crying,78
idiot,294
idiots,231
selfish,161
upheaval,17
mess,224
crisis,4338
horrible,387
violence,488
abuse,196
rape,44
stupid,727
