words,ocurrences
panic,106
fear,516
sad,213
mental,260
mind,189
sorry,186
shame,166
hate,193
hell,183
bad,566
feel,394
feeling,156
shit,359
worst,289
worse,405
blame,231
lonely,6
chaos,310
mad,48
ruined,30
anxiety,78
stress,89
stressed,23
phobia,3
shame,166
hurt,60
disorder,26
loneliness,13
turmoil,9
anger,33
horror,34
rage,16
fate,11
nervous,20
restless,0
depression,50
grief,33
worry,148
worried,219
angst,1
depressed,11
suicide,57
suffer,82
suffering,209
uncertainty,80
uneasy,2
sadness,12
afraid,67
alone,178
suicidal,9
mood,10
tension,2
anxious,16
desperate,24
dismal,4
exhausted,21
insecure,1
distress,19
distressed,3
frustration,11
disgusting,53
boredom,2
bored,17
insane,51
stupidity,77
bullshit,135
uncertain,13
displeased,0
uncomfortable,9
melancholy,0
overwhelmed,38
pessimistic,1
unhappy,6
upset,17
outrage,23
ass,82
damn,167
covidiot,20
terrify,1
terrified,12
terrifying,26
distrust,10
scare,61
scared,81
scaring,5
dread,3
failed,247
failed,247
failure,229
fuck,341
fucking,269
miserable,37
regret,40
shock,30
shocked,22
negligence,51
betrayed,2
cry,33
crying,23
idiot,95
idiots,105
selfish,64
upheaval,4
mess,72
crisis,680
horrible,39
violence,119
abuse,78
rape,22
stupid,260
