word,count
the,93051
to,64192
covid,57289
of,51111
19,49303
and,42425
in,40134
for,30577
is,27752
covid19,25143
on,18491
are,17599
you,17094
it,16785
this,16595
that,16042
vaccine,15722
with,13406
from,13405
have,13211
at,11943
coronavirus,11830
not,10918
people,10890
be,10731
we,9969
as,9930
amp,9823
more,9085
they,8733
has,8693
cases,8686
by,8571
new,8349
all,8278
will,7434
who,7295
or,7006
get,6879
your,6817
health,6615
about,6576
pandemic,6456
but,6386
can,6339
vaccinated,6155
our,6105
if,6081
what,5875
vaccination,5788
an,5680
vaccines,5641
their,5569
deaths,5529
so,5506
booster,5421
now,5363
was,5337
how,5151
no,5146
out,5044
against,4690
fda,4669
been,4570
than,4549
one,4520
over,4477
us,4394
up,4364
there,4213
here,4169
just,4161
do,4154
after,4100
pfizer,4094
my,4044
news,4036
via,4002
were,3717
he,3572
like,3541
2021,3521
panel,3520
today,3473
day,3461
don,3416
children,3340
india,3294
when,3239
those,3177
why,3171
shots,3154
need,2932
data,2930
positive,2904
risk,2903
had,2878
them,2876
state,2815
time,2801
virus,2780
only,2776
re,2765
many,2749
should,2690
care,2641
most,2627
biden,2588
still,2586
patients,2571
know,2571
other,2567
americans,2547
17,2537
death,2525
first,2507
some,2481
test,2470
year,2468
she,2454
because,2451
being,2440
these,2426
000,2392
world,2353
during,2331
high,2326
would,2318
died,2304
doses,2299
his,2281
me,2280
says,2251
its,2231
please,2230
government,2213
help,2158
take,2141
right,2139
said,2138
into,2136
public,2120
last,2106
good,2104
dose,2075
even,2034
any,2031
school,2015
due,2011
see,1997
hospital,1985
county,1946
total,1940
week,1938
september,1936
16,1924
could,1923
getting,1919
free,1892
go,1891
also,1890
unvaccinated,1878
her,1865
which,1848
friday,1846
advisory,1844
fully,1833
make,1825
plan,1821
since,1803
stop,1801
work,1794
update,1793
well,1791
latest,1783
going,1747
two,1716
may,1716
older,1693
workers,1690
read,1669
reported,1664
florida,1662
got,1646
say,1625
schools,1620
boosters,1619
disease,1615
want,1603
testing,1601
10,1591
spread,1585
did,1580
study,1569
population,1567
shot,1567
days,1560
think,1546
18,1539
million,1536
mask,1525
way,1514
medical,1509
give,1507
country,1507
rate,1497
states,1493
before,1476
thanks,1472
uk,1470
live,1466
very,1463
back,1461
including,1458
daily,1442
long,1437
where,1434
let,1432
home,1430
reports,1429
ve,1429
every,1423
per,1413
number,1404
much,1398
under,1397
then,1396
years,1385
does,1381
keep,1372
kids,1371
12,1350
use,1349
case,1349
65,1345
ivermectin,1332
too,1320
safe,1315
while,1313
sept,1310
anti,1306
dr,1305
months,1300
life,1292
travel,1281
found,1267
masks,1266
support,1264
down,1262
cdc,1253
severe,1243
tests,1239
