words,ocurrences
panic,147
fear,723
sad,378
mental,280
mind,350
sorry,332
shame,231
hate,237
hell,350
bad,787
feel,610
feeling,165
shit,558
worst,458
worse,1154
blame,545
lonely,12
chaos,48
mad,66
ruined,38
anxiety,87
stress,116
stressed,19
phobia,0
shame,231
hurt,82
disorder,63
loneliness,9
turmoil,11
anger,95
horror,26
rage,35
fate,20
nervous,24
restless,1
depression,35
grief,25
worry,216
worried,241
angst,3
depressed,13
suicide,63
suffer,191
suffering,563
uncertainty,46
uneasy,1
sadness,11
afraid,174
alone,229
suicidal,11
mood,17
tension,10
anxious,20
desperate,72
dismal,7
exhausted,34
insecure,4
distress,13
distressed,4
frustration,88
disgusting,97
boredom,2
bored,9
insane,120
stupidity,206
bullshit,192
uncertain,28
displeased,0
uncomfortable,12
melancholy,1
overwhelmed,97
pessimistic,11
unhappy,7
upset,27
outrage,33
ass,236
damn,492
covidiot,35
terrify,3
terrified,20
terrifying,31
distrust,16
scare,132
scared,203
scaring,13
dread,5
failed,331
failed,331
failure,223
fuck,425
fucking,434
miserable,19
regret,74
shock,51
shocked,93
negligence,55
betrayed,7
cry,52
crying,39
idiot,265
idiots,258
selfish,166
upheaval,1
mess,86
crisis,768
horrible,88
violence,120
abuse,97
rape,11
stupid,627
