words,ocurrences
panic,2056
fear,849
sad,197
mental,94
mind,233
sorry,371
shame,94
hate,216
hell,186
bad,727
feel,521
feeling,185
shit,736
worst,454
worse,598
blame,300
lonely,13
chaos,177
mad,96
ruined,18
anxiety,242
stress,92
stressed,43
phobia,6
shame,94
hurt,158
disorder,21
loneliness,2
turmoil,46
anger,34
horror,32
rage,11
fate,14
nervous,88
restless,0
depression,27
grief,18
worry,390
worried,676
angst,2
depressed,10
suicide,22
suffer,93
suffering,280
uncertainty,155
uneasy,8
sadness,4
afraid,198
alone,217
suicidal,5
mood,18
tension,14
anxious,56
desperate,43
dismal,0
exhausted,5
insecure,9
distress,29
distressed,2
frustration,9
disgusting,135
boredom,2
bored,33
insane,68
stupidity,92
bullshit,80
uncertain,25
displeased,1
uncomfortable,10
melancholy,0
overwhelmed,30
pessimistic,2
unhappy,2
upset,34
outrage,15
ass,240
damn,252
covidiot,0
terrify,2
terrified,53
terrifying,56
distrust,10
scare,816
scared,383
scaring,41
dread,9
failed,99
failed,99
failure,100
fuck,365
fucking,404
miserable,6
regret,19
shock,223
shocked,17
negligence,24
betrayed,0
cry,26
crying,19
idiot,160
idiots,82
selfish,33
upheaval,3
mess,69
crisis,1265
horrible,57
violence,75
abuse,28
rape,5
stupid,293
