words,ocurrences
panic,364
fear,1548
sad,1284
mental,892
mind,798
sorry,785
shame,774
hate,1033
hell,1099
bad,2168
feel,1447
feeling,524
shit,2399
worst,2723
worse,1853
blame,1053
lonely,46
chaos,250
mad,275
ruined,133
anxiety,325
stress,338
stressed,81
phobia,2
shame,774
hurt,215
disorder,37
loneliness,56
turmoil,34
anger,91
horror,201
rage,98
fate,149
nervous,45
restless,7
depression,208
grief,124
worry,562
worried,781
angst,9
depressed,45
suicide,179
suffer,395
suffering,697
uncertainty,288
uneasy,8
sadness,23
afraid,329
alone,883
suicidal,25
mood,74
tension,21
anxious,84
desperate,271
dismal,22
exhausted,100
insecure,23
distress,69
distressed,16
frustration,64
disgusting,647
boredom,4
bored,67
insane,332
stupidity,320
bullshit,530
uncertain,98
displeased,0
uncomfortable,40
melancholy,0
overwhelmed,457
pessimistic,11
unhappy,20
upset,110
outrage,61
ass,821
damn,936
covidiot,155
terrify,18
terrified,80
terrifying,155
distrust,14
scare,274
scared,368
scaring,43
dread,12
failed,1326
failed,1326
failure,1235
fuck,1762
fucking,1886
miserable,74
regret,60
shock,274
shocked,398
negligence,382
betrayed,21
cry,201
crying,100
idiot,937
idiots,558
selfish,353
upheaval,19
mess,286
crisis,2627
horrible,324
violence,295
abuse,208
rape,34
stupid,1628
