words,ocurrences
panic,443
fear,1286
sad,1627
mental,682
mind,743
sorry,956
shame,670
hate,1108
hell,855
bad,2119
feel,1907
feeling,479
shit,1738
worst,1425
worse,1944
blame,874
lonely,40
chaos,189
mad,308
ruined,134
anxiety,301
stress,407
stressed,72
phobia,2
shame,670
hurt,205
disorder,51
loneliness,27
turmoil,26
anger,82
horror,185
rage,169
fate,67
nervous,94
restless,6
depression,221
grief,86
worry,590
worried,538
angst,17
depressed,59
suicide,421
suffer,368
suffering,945
uncertainty,178
uneasy,9
sadness,61
afraid,349
alone,672
suicidal,18
mood,75
tension,24
anxious,75
desperate,147
dismal,14
exhausted,84
insecure,26
distress,79
distressed,9
frustration,45
disgusting,312
boredom,34
bored,63
insane,252
stupidity,426
bullshit,373
uncertain,105
displeased,2
uncomfortable,86
melancholy,1
overwhelmed,401
pessimistic,15
unhappy,25
upset,110
outrage,59
ass,741
damn,1135
covidiot,132
terrify,4
terrified,81
terrifying,143
distrust,24
scare,175
scared,473
scaring,29
dread,18
failed,887
failed,887
failure,966
fuck,1629
fucking,1531
miserable,42
regret,69
shock,189
shocked,258
negligence,182
betrayed,26
cry,145
crying,198
idiot,627
idiots,488
selfish,326
upheaval,45
mess,350
crisis,3908
horrible,291
violence,326
abuse,312
rape,57
stupid,1687
