words,ocurrences
panic,86
fear,480
sad,203
mental,376
mind,256
sorry,227
shame,169
hate,178
hell,201
bad,531
feel,390
feeling,124
shit,365
worst,319
worse,348
blame,208
lonely,7
chaos,50
mad,64
ruined,26
anxiety,130
stress,158
stressed,21
phobia,7
shame,169
hurt,59
disorder,89
loneliness,14
turmoil,10
anger,20
horror,24
rage,17
fate,14
nervous,20
restless,1
depression,169
grief,40
worry,200
worried,261
angst,1
depressed,10
suicide,84
suffer,96
suffering,180
uncertainty,58
uneasy,0
sadness,7
afraid,80
alone,192
suicidal,8
mood,19
tension,7
anxious,25
desperate,44
dismal,2
exhausted,24
insecure,6
distress,49
distressed,7
frustration,19
disgusting,58
boredom,3
bored,10
insane,54
stupidity,64
bullshit,139
uncertain,27
displeased,2
uncomfortable,4
melancholy,0
overwhelmed,39
pessimistic,4
unhappy,8
upset,31
outrage,16
ass,136
damn,163
covidiot,9
terrify,1
terrified,12
terrifying,32
distrust,12
scare,103
scared,85
scaring,7
dread,5
failed,279
failed,279
failure,200
fuck,332
fucking,285
miserable,29
regret,22
shock,40
shocked,52
negligence,68
betrayed,4
cry,34
crying,32
idiot,126
idiots,115
selfish,72
upheaval,4
mess,75
crisis,878
horrible,52
violence,136
abuse,78
rape,12
stupid,300
