words,ocurrences
panic,160
fear,807
sad,996
mental,955
mind,623
sorry,763
shame,452
hate,582
hell,897
bad,1655
feel,1216
feeling,412
shit,1424
worst,1137
worse,1197
blame,521
lonely,59
chaos,130
mad,213
ruined,76
anxiety,267
stress,374
stressed,74
phobia,2
shame,452
hurt,251
disorder,38
loneliness,58
turmoil,21
anger,76
horror,68
rage,64
fate,83
nervous,39
restless,0
depression,217
grief,149
worry,442
worried,579
angst,3
depressed,34
suicide,163
suffer,367
suffering,724
uncertainty,162
uneasy,7
sadness,53
afraid,241
alone,651
suicidal,14
mood,32
tension,21
anxious,45
desperate,144
dismal,9
exhausted,159
insecure,22
distress,55
distressed,6
frustration,40
disgusting,342
boredom,11
bored,35
insane,202
stupidity,203
bullshit,374
uncertain,103
displeased,2
uncomfortable,30
melancholy,1
overwhelmed,280
pessimistic,25
unhappy,16
upset,75
outrage,80
ass,596
damn,945
covidiot,92
terrify,7
terrified,57
terrifying,124
distrust,50
scare,153
scared,212
scaring,8
dread,9
failed,629
failed,629
failure,520
fuck,1529
fucking,1265
miserable,30
regret,50
shock,115
shocked,99
negligence,220
betrayed,17
cry,108
crying,116
idiot,467
idiots,337
selfish,387
upheaval,6
mess,196
crisis,2384
horrible,249
violence,496
abuse,183
stupid,963
