words,ocurrences
panic,50
fear,357
sad,191
mental,248
mind,217
sorry,248
shame,110
hate,120
hell,201
bad,502
feel,363
feeling,192
shit,357
worst,205
worse,278
blame,168
lonely,4
chaos,23
mad,85
ruined,13
anxiety,90
stress,83
stressed,14
phobia,2
shame,110
hurt,60
disorder,21
loneliness,13
turmoil,5
anger,14
horror,19
rage,18
fate,13
nervous,25
restless,3
depression,52
grief,44
worry,111
worried,97
angst,3
depressed,9
suicide,40
suffer,90
suffering,150
uncertainty,41
uneasy,0
sadness,4
afraid,72
alone,192
suicidal,2
mood,16
tension,7
anxious,22
desperate,29
dismal,3
exhausted,18
insecure,11
distress,36
distressed,0
frustration,11
disgusting,97
boredom,1
bored,10
insane,64
stupidity,65
bullshit,125
uncertain,15
displeased,0
uncomfortable,11
melancholy,0
overwhelmed,33
pessimistic,3
unhappy,12
upset,39
outrage,33
ass,115
damn,165
covidiot,142
terrify,2
terrified,7
terrifying,15
distrust,10
scare,53
scared,78
scaring,11
dread,2
failed,153
failed,153
failure,167
fuck,280
fucking,328
miserable,6
regret,52
shock,29
shocked,31
negligence,27
betrayed,2
cry,32
crying,42
idiot,120
idiots,110
selfish,82
upheaval,1
mess,43
crisis,469
horrible,44
violence,88
abuse,72
rape,13
stupid,306
