words,ocurrences
panic,412
fear,1619
sad,1212
mental,1023
mind,950
sorry,806
shame,605
hate,1057
hell,909
bad,2198
feel,2112
feeling,580
shit,2393
worst,1682
worse,1687
blame,1567
lonely,58
chaos,888
mad,399
ruined,133
anxiety,491
stress,492
stressed,94
phobia,6
shame,605
hurt,362
disorder,77
loneliness,34
turmoil,101
anger,436
horror,115
rage,264
fate,54
nervous,97
restless,13
depression,352
grief,172
worry,761
worried,941
angst,10
depressed,54
suicide,166
suffer,329
suffering,967
uncertainty,263
uneasy,20
sadness,61
afraid,543
alone,763
suicidal,25
mood,95
tension,104
anxious,105
desperate,267
dismal,15
exhausted,80
insecure,67
distress,112
distressed,23
frustration,173
disgusting,631
boredom,25
bored,147
insane,316
stupidity,272
bullshit,489
uncertain,182
displeased,3
uncomfortable,39
melancholy,7
overwhelmed,164
pessimistic,7
unhappy,23
upset,142
outrage,186
ass,596
damn,703
covidiot,88
terrify,6
terrified,177
terrifying,107
distrust,21
scare,202
scared,563
scaring,30
dread,36
failed,1203
failed,1203
failure,907
fuck,2215
fucking,1617
miserable,31
regret,70
shock,144
shocked,171
negligence,135
betrayed,30
cry,162
crying,183
idiot,386
idiots,626
selfish,322
upheaval,30
mess,366
crisis,6281
horrible,323
violence,1964
abuse,274
rape,176
stupid,1044
