words,ocurrences
panic,396
fear,1567
sad,1477
mental,1398
mind,985
sorry,1172
shame,846
hate,960
hell,929
bad,2864
feel,2078
feeling,617
shit,1734
worst,1821
worse,1875
blame,1297
lonely,75
chaos,221
mad,229
ruined,134
anxiety,575
stress,658
stressed,130
phobia,3
shame,846
hurt,453
disorder,101
loneliness,75
turmoil,259
anger,109
horror,219
rage,76
fate,34
nervous,87
restless,15
depression,410
grief,130
worry,734
worried,741
angst,15
depressed,82
suicide,225
suffer,554
suffering,844
uncertainty,449
uneasy,8
sadness,37
afraid,414
alone,798
suicidal,43
mood,58
tension,36
anxious,156
desperate,259
dismal,23
exhausted,95
insecure,45
distress,119
distressed,17
frustration,84
disgusting,414
boredom,34
bored,98
insane,327
stupidity,372
bullshit,559
uncertain,203
displeased,1
uncomfortable,52
melancholy,2
overwhelmed,238
pessimistic,17
unhappy,88
upset,122
outrage,107
ass,722
damn,971
covidiot,265
terrify,4
terrified,74
terrifying,168
distrust,28
scare,288
scared,394
scaring,25
dread,19
failed,1320
failed,1320
failure,1449
fuck,1463
fucking,1313
miserable,59
regret,221
shock,206
shocked,258
negligence,257
betrayed,10
cry,154
crying,137
idiot,916
idiots,468
selfish,523
upheaval,29
mess,351
crisis,5959
horrible,396
violence,435
abuse,282
rape,75
stupid,1573
