words,ocurrences
panic,145
fear,478
sad,342
mental,261
mind,231
sorry,217
shame,189
hate,275
hell,202
bad,1047
feel,546
feeling,175
shit,312
worst,791
worse,371
blame,244
lonely,88
chaos,37
mad,50
ruined,227
anxiety,109
stress,121
stressed,19
phobia,1
shame,189
hurt,75
disorder,38
loneliness,20
turmoil,3
anger,42
horror,111
rage,84
fate,10
nervous,22
restless,3
depression,120
grief,38
worry,185
worried,163
angst,0
depressed,13
suicide,71
suffer,437
suffering,334
uncertainty,46
uneasy,8
sadness,20
afraid,86
alone,215
suicidal,3
mood,30
tension,9
anxious,28
desperate,51
dismal,8
exhausted,17
insecure,2
distress,20
distressed,5
frustration,17
disgusting,105
boredom,2
bored,22
insane,50
stupidity,62
bullshit,129
uncertain,33
displeased,0
uncomfortable,18
melancholy,0
overwhelmed,53
pessimistic,4
unhappy,3
upset,34
outrage,47
ass,119
damn,163
covidiot,26
terrify,2
terrified,21
terrifying,40
distrust,12
scare,69
scared,100
scaring,9
dread,17
failed,251
failed,251
failure,403
fuck,372
fucking,267
miserable,11
regret,10
shock,42
shocked,46
negligence,119
betrayed,6
cry,44
crying,51
idiot,98
idiots,131
selfish,95
upheaval,2
mess,82
crisis,739
horrible,63
violence,162
abuse,78
rape,11
stupid,269
