words,ocurrences
panic,915
fear,1125
sad,838
mental,907
mind,768
sorry,769
shame,537
hate,685
hell,833
bad,2042
feel,1455
feeling,513
shit,1529
worst,931
worse,1221
blame,954
lonely,35
chaos,295
mad,189
ruined,92
anxiety,350
stress,447
stressed,88
phobia,15
shame,537
hurt,255
disorder,119
loneliness,103
turmoil,44
anger,88
horror,216
rage,199
fate,45
nervous,46
restless,6
depression,295
grief,122
worry,568
worried,712
angst,4
depressed,62
suicide,242
suffer,309
suffering,534
uncertainty,295
uneasy,7
sadness,30
afraid,383
alone,743
suicidal,36
mood,66
tension,27
anxious,81
desperate,255
dismal,16
exhausted,44
insecure,31
distress,55
distressed,14
frustration,72
disgusting,494
boredom,13
bored,41
insane,284
stupidity,368
bullshit,392
uncertain,108
displeased,1
uncomfortable,50
melancholy,2
overwhelmed,150
pessimistic,14
unhappy,12
upset,95
outrage,107
ass,541
damn,716
covidiot,60
terrify,7
terrified,72
terrifying,95
distrust,52
scare,191
scared,278
scaring,16
dread,13
failed,1324
failed,1324
failure,892
fuck,1433
fucking,1278
miserable,38
regret,46
shock,170
shocked,145
negligence,422
betrayed,41
cry,119
crying,98
idiot,636
idiots,506
selfish,446
upheaval,22
mess,302
crisis,3365
horrible,220
violence,477
abuse,254
rape,141
stupid,1374
