words,ocurrences
panic,92
fear,420
sad,154
mental,181
mind,192
sorry,153
shame,77
hate,96
hell,135
bad,419
feel,199
feeling,114
shit,329
worst,313
worse,305
blame,165
lonely,3
chaos,28
mad,33
ruined,14
anxiety,48
stress,54
stressed,16
phobia,0
shame,77
hurt,27
disorder,10
loneliness,7
turmoil,5
anger,18
horror,18
rage,10
fate,5
nervous,6
restless,1
depression,30
grief,19
worry,99
worried,113
angst,0
depressed,2
suicide,21
suffer,59
suffering,67
uncertainty,28
uneasy,4
sadness,6
afraid,83
alone,130
suicidal,3
mood,12
tension,2
anxious,6
desperate,27
dismal,5
exhausted,13
insecure,4
distress,13
distressed,0
frustration,10
disgusting,59
boredom,0
bored,10
insane,49
stupidity,37
bullshit,123
uncertain,23
displeased,0
uncomfortable,5
melancholy,0
overwhelmed,24
pessimistic,3
unhappy,3
upset,7
outrage,7
ass,68
damn,117
covidiot,19
terrify,1
terrified,5
terrifying,13
distrust,5
scare,82
scared,65
scaring,8
dread,4
failed,87
failed,87
failure,77
fuck,311
fucking,167
miserable,10
regret,13
shock,26
shocked,32
negligence,14
betrayed,5
cry,32
crying,21
idiot,41
idiots,63
selfish,43
upheaval,1
mess,37
crisis,329
horrible,39
violence,485
abuse,76
rape,12
stupid,174
