words,ocurrences
panic,581
fear,1779
sad,1523
mental,1235
mind,1062
sorry,1351
shame,951
hate,1283
hell,1384
bad,3209
feel,2374
feeling,832
shit,2535
worst,1959
worse,1870
blame,2919
lonely,37
chaos,266
mad,370
ruined,153
anxiety,517
stress,542
stressed,122
phobia,5
shame,951
hurt,358
disorder,177
loneliness,87
turmoil,209
anger,397
horror,173
rage,106
fate,82
nervous,98
restless,7
depression,299
grief,185
worry,843
worried,748
angst,13
depressed,69
suicide,272
suffer,606
suffering,784
uncertainty,351
uneasy,17
sadness,49
afraid,412
alone,1058
suicidal,18
mood,66
tension,36
anxious,99
desperate,282
dismal,26
exhausted,100
insecure,33
distress,112
distressed,19
frustration,54
disgusting,675
boredom,10
bored,103
insane,430
stupidity,569
bullshit,590
uncertain,245
displeased,0
uncomfortable,73
melancholy,0
overwhelmed,319
pessimistic,20
unhappy,46
upset,189
outrage,159
ass,1056
damn,1414
covidiot,245
terrify,6
terrified,103
terrifying,235
distrust,31
scare,267
scared,473
scaring,39
dread,22
failed,1651
failed,1651
failure,1548
fuck,2305
fucking,2302
miserable,65
regret,168
shock,326
shocked,412
negligence,290
betrayed,32
cry,271
crying,205
idiot,1154
idiots,590
selfish,497
upheaval,14
mess,506
crisis,6838
horrible,424
violence,715
abuse,364
rape,82
stupid,1929
