words,ocurrences
panic,122
fear,465
sad,455
mental,553
mind,395
sorry,367
shame,252
hate,407
hell,435
bad,938
feel,809
feeling,297
shit,762
worst,570
worse,578
blame,316
lonely,30
chaos,90
mad,129
ruined,61
anxiety,165
stress,211
stressed,35
phobia,4
shame,252
hurt,102
disorder,51
loneliness,32
turmoil,5
anger,89
horror,50
rage,35
fate,18
nervous,15
restless,2
depression,90
grief,71
worry,210
worried,198
angst,6
depressed,18
suicide,96
suffer,174
suffering,294
uncertainty,63
uneasy,7
sadness,19
afraid,160
alone,367
suicidal,21
mood,40
tension,13
anxious,51
desperate,127
dismal,7
exhausted,165
insecure,9
distress,45
distressed,5
frustration,29
disgusting,218
boredom,11
bored,27
insane,139
stupidity,124
bullshit,192
uncertain,31
displeased,0
uncomfortable,16
melancholy,0
overwhelmed,95
pessimistic,4
unhappy,11
upset,67
outrage,112
ass,348
damn,400
covidiot,79
terrify,0
terrified,33
terrifying,43
distrust,25
scare,85
scared,112
scaring,12
dread,12
failed,511
failed,511
failure,488
fuck,850
fucking,712
miserable,26
regret,42
shock,58
shocked,80
negligence,66
betrayed,8
cry,68
crying,61
idiot,169
idiots,257
selfish,190
upheaval,10
mess,160
crisis,1075
horrible,113
violence,227
abuse,97
rape,9
stupid,526
