word,count
the,98976
to,67719
covid,65154
19,57225
of,57090
in,52096
and,46238
is,31141
for,28826
covid19,26198
are,22350
you,20443
whatshappeninginmyanmar,19863
it,19496
that,19306
with,19227
this,18385
aug14coup,17889
on,17635
from,16916
people,15080
vaccine,14740
have,14274
coronavirus,14102
we,13749
support,13404
needs,13076
not,12915
amp,12826
be,12691
cases,12422
nug,12278
all,12166
as,11952
at,10711
2021,10549
they,9549
new,9118
who,9100
has,8766
your,8719
by,8697
08,8624
can,8366
our,8341
will,8052
get,7740
but,7724
their,7522
more,7500
how,7059
so,6966
about,6880
or,6841
capacity,6675
if,6663
state,6566
was,6452
do,6307
no,6274
what,6274
there,6256
vaccinated,6165
out,6119
us,5901
health,5815
been,5803
crimesagainsthumanity,5737
than,5729
vaccines,5563
pandemic,5543
military,5514
over,5255
18,5223
now,5210
an,5190
deaths,5051
just,4935
coup,4769
were,4749
my,4745
up,4731
died,4674
year,4584
vaccination,4391
like,4297
since,4267
after,4212
one,4178
he,4095
don,4086
also,4073
these,4069
children,4018
find,4016
via,3990
those,3920
available,3910
age,3870
here,3841
today,3798
news,3795
need,3791
14,3781
cowin,3760
why,3749
virus,3624
help,3608
delta,3594
when,3571
sac,3528
against,3502
day,3477
farmers,3454
covishield,3437
re,3411
death,3395
know,3327
patients,3289
limit,3245
hospital,3233
dates,3230
min,3227
pin,3190
pune,3182
dose1,3169
dose2,3169
vaccinepune,3169
daily,3167
variant,3164
india,3140
should,3076
acceptnug_rejectmilitary,3074
them,3012
safe,3011
county,3002
work,3000
every,2978
florida,2968
mask,2907
into,2882
said,2839
many,2826
aug,2823
being,2815
good,2811
appreciate,2806
some,2798
still,2795
had,2788
could,2725
time,2710
because,2708
only,2689
school,2675
data,2642
old,2605
says,2574
even,2563
13,2558
12,2552
me,2525
his,2522
would,2510
world,2454
15,2447
other,2404
crops,2380
record,2373
media,2369
big,2337
great,2330
please,2299
fight,2286
masks,2279
16,2253
test,2251
infected,2249
go,2220
dose,2194
situation,2188
last,2187
first,2186
during,2182
take,2181
kids,2179
most,2155
positive,2153
any,2132
mandalay,2129
care,2111
lockdown,2095
may,2080
cdc,2069
see,2069
little,2068
government,2065
due,2043
going,2039
rate,2007
right,2000
levels,1997
getting,1989
10,1984
surge,1983
week,1983
its,1979
august,1973
civilians,1969
number,1948
might,1948
000,1918
say,1909
covid_19,1906
myanmar,1905
make,1900
disease,1896
which,1883
always,1882
really,1873
spread,1873
want,1869
think,1860
country,1856
higher,1845
pmc,1842
public,1841
back,1838
efforts,1832
20,1817
home,1815
sent,1813
toll,1809
well,1808
confirmed,1805
disaster,1788
trade,1782
dr,1767
china,1762
announced,1755
investments,1742
dramatically,1737
unvaccinated,1735
thanks,1734
nsw,1730
union,1730
doctor,1725
abandon,1724
shan,1712
hospitals,1704
texas,1701
respect,1698
boy,1686
far,1670
let,1665
bodies,1661
stop,1659
she,1654
prayers,1652
give,1651
child,1645
did,1643
while,1642
among,1636
then,1635
way,1634
another,1632
look,1622
schools,1611
volunteers,1604
terrorist,1600
before,1597
where,1597
dreadfulcovidamidmilitarycoup,1593
high,1587
hero,1585
die,1578
opposing,1578
immediately,1575
states,1574
lying,1574
latest,1567
too,1565
does,1565
actual,1563
got,1562
100,1561
collect,1560
reports,1559
risk,1546
restrictions,1545
south,1543
counts,1543
auspicerefugees,1539
tirelessly,1531
tun,1525
naing,1522
lin,1521
two,1520
ve,1518
truely,1517
kayah,1516
her,1509
testing,1508
medical,1506
down,1501
read,1500
monks,1499
17,1496
400,1492
under,1491
contribution,1482
organisations,1481
days,1478
village,1461
much,1456
very,1454
pro,1450
study,1442
again,1439
doses,1435
attack,1432
waingmaw,1430
township,1423
fully,1418
madaing,1418
covid19indiahelp,1405
reported,1404
everyone,1403
50,1390
live,1384
controlled,1380
canada,1377
free,1376
life,1362
emergency,1354
democracy,1354
uk,1337
million,1336
215,1336
weapons,1334
case,1329
shot,1323
cnn,1322
never,1319
causing,1319
icu,1302
keep,1295
same,1295
releasethedetainees,1289
population,1283
anti,1281
tested,1280
trump,1277
increasing,1268
precious,1265
off,1263
long,1258
crisis,1258
24,1255
hospitalized,1255
youths,1255
students,1253
workers,1253
beds,1246
2020,1242
doesn,1239
yet,1238
monywa,1236
drop,1231
based,1223
pfizer,1220
per,1214
times,1208
must,1206
rest,1201
australia,1191
mandates,1190
years,1183
total,1182
video,1173
family,1158
prices,1157
protect,1155
tests,1148
30,1148
travel,1142
unable,1140
through,1139
caused,1133
update,1132
next,1131
stay,1126
americans,1126
months,1125
thousands,1115
saturday,1112
scientists,1111
bbmp,1110
made,1109
governor,1101
minister,1100
amid,1099
infections,1099
already,1098
until,1097
use,1097
better,1093
desantis,1090
science,1088
around,1086
lives,1084
biden,1080
end,1080
numbers,1073
hit,1070
decreasing,1067
am,1060
across,1058
hours,1056
despite,1056
debts,1051
hospitalizations,1050
ill,1050
come,1045
required,1037
45,1036
didn,1034
infection,1025
highest,1024
immunocompromised,1021
treatment,1012
doing,1007
east,1006
real,991
47,989
man,985
mandate,985
flu,979
believe,966
full,963
border,960
less,954
11,951
increased,946
ll,944
sick,943
without,938
god,937
global,934
camp,934
vax,933
enough,932
season,932
booster,931
isn,931
wear,930
others,926
staff,924
anyone,920
thing,914
third,911
weeks,908
national,905
spreading,904
bad,901
wave,901
price,896
community,896
according,893
coming,885
friday,883
21,879
start,878
increase,876
america,876
rates,873
person,868
report,867
critical,866
social,866
local,865
least,862
cause,859
oxygen,857
vaccinations,856
system,856
won,856
everything,851
check,849
obama,847
dying,845
govrondesantis,841
open,837
wait,834
immunity,834
own,831
become,829
shots,829
left,825
show,824
post,821
done,820
covaxin,818
response,814
party,809
countries,808
refugee,807
condition,804
prime,803
negative,799
gov,799
healthcare,799
sure,798
critically,797
information,794
deltavariant,794
article,794
best,790
starting,789
ever,788
prison,784
require,780
karenni,776
experts,775
immune,773
loikaw,773
yes,772
usa,771
money,767
taking,766
fact,766
tell,766
25,765
thank,764
freedom,764
junta,763
fda,762
someone,761
month,761
follow,760
control,760
nothing,759
outbreak,757
research,756
hope,756
change,748
continue,746
variants,745
including,744
city,743
important,742
actually,740
refugees,740
symptoms,739
both,737
things,736
put,732
insight,730
additional,729
effective,729
saying,728
expert,728
point,727
business,722
call,721
protest,721
away,720
debt,718
making,717
killing,714
effects,713
something,713
federal,712
moderna,711
visualizations,711
usafacts,711
second,711
united,710
threatening,710
fell,710
coviddata,709
found,708
covidvislualizations,708
smcanalytics,708
part,708
sars,707
teachers,706
gop,706
corona,704
safety,704
president,702
him,701
spike,701
shit,698
nurses,698
officials,697
iran,696
declining,696
dallas,695
tsp,695
doctors,694
judge,687
measures,687
underlying,686
face,685
stupid,684
substantially,682
likely,681
dead,680
99,680
updates,679
save,679
flee,679
gt,678
above,676
rise,674
battalion,671
rainy,671
records,670
job,670
fake,669
58th,669
parents,668
past,667
current,666
martha,664
vineyard,663
related,661
online,661
babies,658
within,655
truth,653
oh,653
evidence,652
three,651
between,650
cards,650
winemaw,649
love,647
displace,646
indiafightscorona,645
self,644
soon,639
police,635
such,634
young,633
california,632
twitter,632
almost,631
american,630
lot,630
getvaccinated,628
few,627
women,627
detained,627
human,620
leukemia,620
proof,617
maybe,616
working,616
pcmc,616
40,616
lab,613
top,612
wrong,612
place,611
worse,611
maung,611
zaw,609
myint,609
obo,609
covidvaccine,607
using,605
team,603
nations,603
active,602
political,600
smoke,600
hospitalvaccines,599
dictatorship,599
remember,598
prevent,598
80,595
aren,594
27,592
share,591
severe,591
trying,590
having,589
breaking,589
residents,588
early,587
continues,586
watch,584
ago,584
pediatric,580
department,579
wearing,579
zero,579
pincode,577
slotsage,577
2021fees,577
cowinblore1844,577
auspol,576
kill,576
low,576
nation,574
means,572
mandatory,570
hard,569
lost,568
iq,566
following,565
nearly,565
story,562
yourself,561
different,560
baby,559
republicans,558
mean,557
education,557
youtube,557
used,556
shows,555
true,555
employees,554
49,554
act,549
transmission,549
fuck,549
half,548
wildfire,547
side,545
food,545
dies,542
jab,540
makes,536
anything,536
potus,536
birthday,535
impact,535
mass,533
problem,532
29,532
hits,532
possible,531
pay,529
common,529
plan,529
result,528
atrocities,528
nursing,528
reason,526
lambda,525
etc,525
fall,525
staged,523
told,522
started,520
understand,520
called,520
literally,516
ayemyatharyar,516
fear,515
39,514
feel,513
lower,513
july,513
phakant,513
recovery,509
reporting,508
sydney,508
learn,508
air,507
ominous,507
each,506
agesdate,505
non,505
seen,505
once,505
order,504
trust,504
worst,503
38,502
thought,502
2019,502
fighting,501
looking,499
98,498
former,497
sign,497
yesterday,496
tennessee,495
clinic,494
fucking,494
serious,492
received,491
seems,489
quarantine,489
account,484
protection,483
lockdowns,481
lies,481
source,480
lie,480
certain,478
billion,478
johnson,477
street,474
ivermectin,474
mrna,473
