words,ocurrences
panic,572
fear,1973
sad,1440
mental,1945
mind,1306
sorry,1202
shame,862
hate,992
hell,948
bad,2858
feel,2347
feeling,773
shit,1954
worst,1894
worse,1974
blame,1436
lonely,147
chaos,393
mad,321
ruined,157
anxiety,682
stress,825
stressed,127
phobia,7
shame,862
hurt,353
disorder,89
loneliness,109
turmoil,81
anger,269
horror,167
rage,147
fate,156
nervous,94
restless,11
depression,518
grief,214
worry,750
worried,945
angst,7
depressed,83
suicide,416
suffer,458
suffering,1591
uncertainty,538
uneasy,8
sadness,68
afraid,518
alone,1231
suicidal,27
mood,175
tension,86
anxious,143
desperate,340
dismal,28
exhausted,74
insecure,48
distress,104
distressed,47
frustration,78
disgusting,545
boredom,41
bored,137
insane,261
stupidity,343
bullshit,493
uncertain,339
displeased,8
uncomfortable,69
melancholy,2
overwhelmed,278
pessimistic,14
unhappy,22
upset,179
outrage,141
ass,702
damn,839
covidiot,335
terrify,7
terrified,90
terrifying,142
distrust,38
scare,208
scared,444
scaring,26
dread,15
failed,1950
failed,1950
failure,1081
fuck,1431
fucking,1266
miserable,59
regret,358
shock,360
shocked,385
negligence,238
betrayed,30
cry,168
crying,192
idiot,665
idiots,549
selfish,399
upheaval,39
mess,492
crisis,11278
horrible,375
violence,722
abuse,583
rape,53
stupid,1547
