words,ocurrences
panic,129
fear,626
sad,585
mental,721
mind,414
sorry,510
shame,338
hate,356
hell,415
bad,975
feel,894
feeling,339
shit,918
worst,585
worse,677
blame,458
lonely,26
chaos,99
mad,132
ruined,56
anxiety,175
stress,180
stressed,49
phobia,6
shame,338
hurt,134
disorder,24
loneliness,22
turmoil,15
anger,76
horror,493
rage,26
fate,25
nervous,34
restless,6
depression,119
grief,83
worry,263
worried,218
angst,15
depressed,30
suicide,346
suffer,179
suffering,297
uncertainty,78
uneasy,2
sadness,30
afraid,136
alone,325
suicidal,26
mood,49
tension,5
anxious,36
desperate,73
dismal,26
exhausted,107
insecure,10
distress,31
distressed,6
frustration,67
disgusting,277
boredom,20
bored,26
insane,111
stupidity,96
bullshit,252
uncertain,35
displeased,1
uncomfortable,21
melancholy,0
overwhelmed,91
pessimistic,7
unhappy,6
upset,68
outrage,63
ass,301
damn,406
covidiot,53
terrify,1
terrified,38
terrifying,68
distrust,15
scare,113
scared,138
scaring,19
dread,8
failed,510
failed,510
failure,508
fuck,747
fucking,615
miserable,30
regret,43
shock,64
shocked,109
negligence,119
betrayed,19
cry,87
crying,66
idiot,191
idiots,204
selfish,139
upheaval,3
mess,157
crisis,1270
horrible,170
violence,160
abuse,120
rape,17
stupid,501
