words,ocurrences
panic,496
fear,1938
sad,1810
mental,3029
mind,1446
sorry,1262
shame,935
hate,1354
hell,1141
bad,2935
feel,2566
feeling,836
shit,2551
worst,1693
worse,1755
blame,1921
lonely,67
chaos,262
mad,498
ruined,155
anxiety,790
stress,959
stressed,155
phobia,14
shame,935
hurt,473
disorder,149
loneliness,141
turmoil,79
anger,212
horror,190
rage,78
fate,109
nervous,119
restless,17
depression,566
grief,253
worry,805
worried,908
angst,15
depressed,117
suicide,319
suffer,450
suffering,1068
uncertainty,574
uneasy,10
sadness,47
afraid,431
alone,1160
suicidal,38
mood,193
tension,85
anxious,161
desperate,386
dismal,18
exhausted,57
insecure,59
distress,155
distressed,38
frustration,63
disgusting,451
boredom,47
bored,185
insane,394
stupidity,557
bullshit,603
uncertain,415
displeased,3
uncomfortable,77
melancholy,1
overwhelmed,240
pessimistic,22
unhappy,41
upset,195
outrage,176
ass,1497
damn,1151
covidiot,171
terrify,4
terrified,95
terrifying,145
distrust,39
scare,214
scared,466
scaring,24
dread,24
failed,1502
failed,1502
failure,1143
fuck,1685
fucking,1712
miserable,82
regret,160
shock,322
shocked,415
negligence,243
betrayed,31
cry,512
crying,184
idiot,909
idiots,568
selfish,303
upheaval,41
mess,393
crisis,12486
horrible,352
violence,661
abuse,519
rape,78
stupid,1978
