words,ocurrences
panic,91
fear,620
sad,304
mental,411
mind,294
sorry,274
shame,159
hate,230
hell,391
bad,613
feel,548
feeling,203
shit,521
worst,348
worse,513
blame,272
lonely,12
chaos,406
mad,61
ruined,34
anxiety,133
stress,170
stressed,28
phobia,4
shame,159
hurt,49
disorder,13
loneliness,17
turmoil,19
anger,33
horror,31
rage,20
fate,17
nervous,24
restless,0
depression,83
grief,186
worry,197
worried,230
angst,4
depressed,23
suicide,51
suffer,137
suffering,228
uncertainty,72
uneasy,2
sadness,14
afraid,131
alone,224
suicidal,11
mood,22
tension,10
anxious,47
desperate,46
dismal,11
exhausted,54
insecure,8
distress,33
distressed,3
frustration,22
disgusting,84
boredom,5
bored,45
insane,72
stupidity,102
bullshit,180
uncertain,38
displeased,0
uncomfortable,18
melancholy,0
overwhelmed,181
pessimistic,6
unhappy,5
upset,25
outrage,38
ass,114
damn,227
covidiot,30
terrify,4
terrified,26
terrifying,45
distrust,9
scare,154
scared,124
scaring,14
dread,4
failed,243
failed,243
failure,177
fuck,572
fucking,404
miserable,63
regret,41
shock,57
shocked,51
negligence,38
betrayed,5
cry,67
crying,76
idiot,127
idiots,128
selfish,115
upheaval,2
mess,146
crisis,2185
horrible,62
violence,264
abuse,58
rape,8
stupid,404
