words,ocurrences
panic,735
fear,1805
sad,1913
mental,1401
mind,1284
sorry,1382
shame,965
hate,1156
hell,1261
bad,2917
feel,2694
feeling,1010
shit,2507
worst,1758
worse,1788
blame,1236
lonely,95
chaos,365
mad,412
ruined,135
anxiety,964
stress,807
stressed,203
phobia,2
shame,965
hurt,340
disorder,76
loneliness,91
turmoil,68
anger,155
horror,111
rage,76
fate,96
nervous,68
restless,15
depression,531
grief,162
worry,824
worried,935
angst,10
depressed,94
suicide,342
suffer,402
suffering,1071
uncertainty,449
uneasy,8
sadness,65
afraid,424
alone,1158
suicidal,28
mood,139
tension,48
anxious,223
desperate,314
dismal,14
exhausted,75
insecure,40
distress,138
distressed,25
frustration,78
disgusting,592
boredom,136
bored,238
insane,317
stupidity,512
bullshit,514
uncertain,335
displeased,1
uncomfortable,39
melancholy,1
overwhelmed,318
pessimistic,23
unhappy,28
upset,210
outrage,121
ass,892
damn,1126
covidiot,238
terrify,10
terrified,113
terrifying,227
distrust,96
scare,307
scared,551
scaring,38
dread,23
failed,834
failed,834
failure,980
fuck,1986
fucking,1781
miserable,71
regret,103
shock,280
shocked,284
negligence,215
betrayed,42
cry,246
crying,306
idiot,874
idiots,599
selfish,332
upheaval,29
mess,364
crisis,12481
horrible,453
violence,1030
abuse,804
rape,67
stupid,1887
