words,ocurrences
panic,4844
fear,1578
sad,1179
mental,1117
mind,924
sorry,958
shame,893
hate,963
hell,1256
bad,3243
feel,1877
feeling,542
shit,2452
worst,1771
worse,3649
blame,1993
lonely,37
chaos,657
mad,448
ruined,171
anxiety,406
stress,497
stressed,123
phobia,5
shame,893
hurt,486
disorder,96
loneliness,47
turmoil,39
anger,224
horror,183
rage,2450
fate,60
nervous,51
restless,14
depression,310
grief,115
worry,707
worried,706
angst,11
depressed,43
suicide,290
suffer,392
suffering,747
uncertainty,421
uneasy,10
sadness,35
afraid,347
alone,888
suicidal,30
mood,47
tension,35
anxious,84
desperate,337
dismal,20
exhausted,64
insecure,23
distress,134
distressed,13
frustration,52
disgusting,650
boredom,12
bored,46
insane,346
stupidity,316
bullshit,765
uncertain,114
displeased,1
uncomfortable,30
melancholy,0
overwhelmed,88
pessimistic,19
unhappy,15
upset,483
outrage,230
ass,907
damn,1084
covidiot,48
terrify,3
terrified,71
terrifying,87
distrust,53
scare,292
scared,362
scaring,60
dread,151
failed,1470
failed,1470
failure,1108
fuck,2360
fucking,2396
miserable,66
regret,62
shock,193
shocked,412
negligence,700
betrayed,181
cry,149
crying,143
idiot,878
idiots,516
selfish,455
upheaval,12
mess,373
crisis,3815
horrible,422
violence,462
abuse,268
rape,212
stupid,1754
