words,ocurrences
panic,113
fear,724
sad,711
mental,471
mind,395
sorry,553
shame,321
hate,421
hell,472
bad,1130
feel,885
feeling,274
shit,948
worst,838
worse,893
blame,425
lonely,24
chaos,110
mad,125
ruined,51
anxiety,184
stress,199
stressed,55
phobia,2
shame,321
hurt,139
disorder,31
loneliness,26
turmoil,26
anger,36
horror,47
rage,47
fate,98
nervous,28
restless,9
depression,117
grief,56
worry,387
worried,539
angst,5
depressed,28
suicide,115
suffer,153
suffering,340
uncertainty,111
uneasy,6
sadness,19
afraid,153
alone,444
suicidal,6
mood,35
tension,16
anxious,49
desperate,64
dismal,13
exhausted,56
insecure,9
distress,28
distressed,5
frustration,17
disgusting,186
boredom,4
bored,27
insane,127
stupidity,96
bullshit,214
uncertain,54
displeased,0
uncomfortable,13
melancholy,1
overwhelmed,112
pessimistic,5
unhappy,15
upset,105
outrage,32
ass,358
damn,567
covidiot,44
terrify,1
terrified,32
terrifying,155
distrust,15
scare,115
scared,174
scaring,18
dread,11
failed,635
failed,635
failure,467
fuck,721
fucking,622
miserable,16
regret,29
shock,70
shocked,99
negligence,103
betrayed,15
cry,91
crying,125
idiot,319
idiots,205
selfish,124
upheaval,3
mess,183
crisis,1539
horrible,183
violence,167
abuse,114
rape,20
stupid,514
