words,ocurrences
panic,527
fear,1123
sad,739
mental,852
mind,879
sorry,530
shame,365
hate,606
hell,586
bad,1470
feel,1064
feeling,354
shit,1132
worst,2228
worse,1392
blame,1122
lonely,50
chaos,245
mad,224
ruined,99
anxiety,361
stress,386
stressed,60
phobia,6
shame,365
hurt,193
disorder,66
loneliness,48
turmoil,27
anger,113
horror,51
rage,32
fate,55
nervous,69
restless,4
depression,281
grief,114
worry,435
worried,571
angst,52
depressed,42
suicide,200
suffer,355
suffering,537
uncertainty,212
uneasy,13
sadness,21
afraid,202
alone,669
suicidal,15
mood,33
tension,19
anxious,83
desperate,199
dismal,18
exhausted,125
insecure,35
distress,62
distressed,3
frustration,48
disgusting,224
boredom,4
bored,45
insane,181
stupidity,220
bullshit,374
uncertain,90
displeased,1
uncomfortable,35
melancholy,4
overwhelmed,144
pessimistic,12
unhappy,20
upset,95
outrage,65
ass,394
damn,495
covidiot,70
terrify,4
terrified,36
terrifying,54
distrust,30
scare,135
scared,231
scaring,17
dread,21
failed,949
failed,949
failure,875
fuck,1070
fucking,856
miserable,32
regret,42
shock,175
shocked,116
negligence,134
betrayed,15
cry,97
crying,92
idiot,478
idiots,310
selfish,218
upheaval,14
mess,250
crisis,3068
horrible,183
violence,344
abuse,192
rape,213
stupid,1062
