words,ocurrences
panic,703
fear,1617
sad,1968
mental,1471
mind,1354
sorry,1365
shame,902
hate,1151
hell,1253
bad,2658
feel,2493
feeling,900
shit,2491
worst,1768
worse,1718
blame,1387
lonely,132
chaos,284
mad,436
ruined,109
anxiety,794
stress,904
stressed,192
phobia,4
shame,902
hurt,375
disorder,60
loneliness,77
turmoil,40
anger,122
horror,329
rage,52
fate,63
nervous,57
restless,8
depression,329
grief,172
worry,896
worried,845
angst,7
depressed,87
suicide,212
suffer,416
suffering,1078
uncertainty,547
uneasy,18
sadness,89
afraid,525
alone,1202
suicidal,19
mood,156
tension,49
anxious,211
desperate,322
dismal,21
exhausted,83
insecure,38
distress,142
distressed,23
frustration,98
disgusting,570
boredom,127
bored,250
insane,389
stupidity,347
bullshit,541
uncertain,345
displeased,6
uncomfortable,42
melancholy,4
overwhelmed,269
pessimistic,23
unhappy,31
upset,203
outrage,124
ass,940
damn,1365
covidiot,187
terrify,4
terrified,107
terrifying,213
distrust,35
scare,243
scared,431
scaring,34
dread,32
failed,959
failed,959
failure,896
fuck,2128
fucking,1812
miserable,74
regret,97
shock,297
shocked,299
negligence,191
betrayed,44
cry,228
crying,271
idiot,791
idiots,494
selfish,279
upheaval,38
mess,357
crisis,12628
horrible,432
violence,740
abuse,569
rape,47
stupid,1728
