words,ocurrences
panic,113
fear,538
sad,458
mental,1187
mind,368
sorry,383
shame,250
hate,406
hell,346
bad,842
feel,872
feeling,348
shit,738
worst,468
worse,578
blame,355
lonely,37
chaos,90
mad,113
ruined,34
anxiety,361
stress,258
stressed,46
phobia,10
shame,250
hurt,122
disorder,40
loneliness,145
turmoil,13
anger,39
horror,41
rage,24
fate,25
nervous,41
restless,1
depression,197
grief,71
worry,398
worried,240
angst,3
depressed,26
suicide,142
suffer,131
suffering,312
uncertainty,109
uneasy,3
sadness,36
afraid,164
alone,298
suicidal,26
mood,33
tension,14
anxious,53
desperate,96
dismal,6
exhausted,89
insecure,19
distress,46
distressed,5
frustration,45
disgusting,184
boredom,8
bored,14
insane,85
stupidity,115
bullshit,209
uncertain,49
displeased,2
uncomfortable,26
melancholy,0
overwhelmed,116
pessimistic,5
unhappy,11
upset,62
outrage,40
ass,252
damn,333
covidiot,11
terrify,1
terrified,24
terrifying,43
distrust,23
scare,86
scared,126
scaring,9
dread,7
failed,329
failed,329
failure,543
fuck,558
fucking,642
miserable,22
regret,37
shock,65
shocked,120
negligence,72
betrayed,7
cry,57
crying,66
idiot,178
idiots,184
selfish,90
upheaval,25
mess,115
crisis,1671
horrible,102
violence,310
abuse,147
rape,32
stupid,458
