words,ocurrences
panic,782
fear,1651
sad,2275
mental,1820
mind,1534
sorry,2226
shame,931
hate,1184
hell,1365
bad,2875
feel,2926
feeling,988
shit,2579
worst,1863
worse,2197
blame,1179
lonely,187
chaos,540
mad,479
ruined,216
anxiety,852
stress,885
stressed,165
phobia,30
shame,931
hurt,392
disorder,165
loneliness,146
turmoil,78
anger,231
horror,182
rage,77
fate,197
nervous,76
restless,15
depression,637
grief,240
worry,924
worried,851
angst,8
depressed,79
suicide,331
suffer,530
suffering,1044
uncertainty,533
uneasy,6
sadness,455
afraid,576
alone,1257
suicidal,40
mood,156
tension,43
anxious,219
desperate,430
dismal,20
exhausted,105
insecure,59
distress,162
distressed,58
frustration,96
disgusting,622
boredom,79
bored,219
insane,833
stupidity,632
bullshit,630
uncertain,324
displeased,0
uncomfortable,83
melancholy,7
overwhelmed,300
pessimistic,28
unhappy,26
upset,159
outrage,112
ass,1149
damn,1484
covidiot,533
terrify,7
terrified,186
terrifying,248
distrust,27
scare,251
scared,514
scaring,33
dread,24
failed,1249
failed,1249
failure,908
fuck,2217
fucking,2227
miserable,63
regret,123
shock,344
shocked,254
negligence,211
betrayed,43
cry,343
crying,349
idiot,1471
idiots,607
selfish,249
upheaval,81
mess,418
crisis,14404
horrible,552
violence,900
abuse,458
rape,36
stupid,2310
