words,ocurrences
panic,372
fear,1588
sad,1068
mental,1236
mind,848
sorry,835
shame,576
hate,857
hell,954
bad,2388
feel,1562
feeling,484
shit,1715
worst,1520
worse,1951
blame,995
lonely,53
chaos,232
mad,263
ruined,137
anxiety,323
stress,448
stressed,83
phobia,4
shame,576
hurt,292
disorder,72
loneliness,56
turmoil,30
anger,90
horror,131
rage,132
fate,47
nervous,60
restless,5
depression,273
grief,153
worry,602
worried,705
angst,11
depressed,46
suicide,455
suffer,381
suffering,739
uncertainty,460
uneasy,4
sadness,40
afraid,353
alone,742
suicidal,13
mood,70
tension,27
anxious,67
desperate,206
dismal,22
exhausted,84
insecure,24
distress,119
distressed,12
frustration,75
disgusting,504
boredom,21
bored,96
insane,389
stupidity,345
bullshit,538
uncertain,96
displeased,1
uncomfortable,47
melancholy,0
overwhelmed,268
pessimistic,31
unhappy,23
upset,133
outrage,78
ass,668
damn,1060
covidiot,148
terrify,15
terrified,64
terrifying,140
distrust,20
scare,261
scared,291
scaring,47
dread,13
failed,1430
failed,1430
failure,992
fuck,1551
fucking,1254
miserable,55
regret,46
shock,151
shocked,188
negligence,246
betrayed,18
cry,156
crying,102
idiot,835
idiots,714
selfish,496
upheaval,19
mess,350
crisis,3246
horrible,278
violence,519
abuse,293
rape,45
stupid,1408
