words,ocurrences
panic,64
fear,393
sad,271
mental,310
mind,222
sorry,312
shame,223
hate,201
hell,262
bad,549
feel,551
feeling,157
shit,332
worst,463
worse,493
blame,285
lonely,14
chaos,62
mad,57
ruined,40
anxiety,107
stress,132
stressed,27
phobia,3
shame,223
hurt,56
disorder,19
loneliness,28
turmoil,11
anger,56
horror,22
rage,13
fate,24
nervous,17
restless,0
depression,49
grief,77
worry,136
worried,197
angst,2
depressed,17
suicide,54
suffer,126
suffering,347
uncertainty,58
uneasy,7
sadness,19
afraid,105
alone,167
suicidal,7
mood,16
tension,20
anxious,32
desperate,48
dismal,2
exhausted,26
insecure,3
distress,23
distressed,2
frustration,14
disgusting,79
boredom,3
bored,5
insane,51
stupidity,88
bullshit,104
uncertain,21
displeased,0
uncomfortable,8
melancholy,0
overwhelmed,71
pessimistic,2
unhappy,7
upset,21
outrage,45
ass,119
damn,156
covidiot,16
terrify,0
terrified,14
terrifying,20
distrust,9
scare,80
scared,90
scaring,8
dread,3
failed,312
failed,312
failure,214
fuck,234
fucking,240
miserable,36
regret,39
shock,39
shocked,76
negligence,50
betrayed,5
cry,34
crying,40
idiot,102
idiots,116
selfish,82
upheaval,2
mess,67
crisis,953
horrible,75
violence,243
abuse,67
rape,16
stupid,388
