words,ocurrences
panic,202
fear,1966
sad,661
mental,406
mind,467
sorry,511
shame,366
hate,532
hell,690
bad,1158
feel,883
feeling,237
shit,1072
worst,843
worse,903
blame,549
lonely,14
chaos,124
mad,122
ruined,37
anxiety,152
stress,145
stressed,46
phobia,5
shame,366
hurt,133
disorder,32
loneliness,18
turmoil,11
anger,93
horror,36
rage,56
fate,29
nervous,43
restless,4
depression,72
grief,65
worry,329
worried,408
angst,9
depressed,15
suicide,90
suffer,190
suffering,303
uncertainty,84
uneasy,6
sadness,11
afraid,221
alone,389
suicidal,12
mood,33
tension,32
anxious,46
desperate,91
dismal,5
exhausted,38
insecure,5
distress,31
distressed,5
frustration,35
disgusting,155
boredom,4
bored,14
insane,202
stupidity,236
bullshit,340
uncertain,38
displeased,0
uncomfortable,50
melancholy,0
overwhelmed,102
pessimistic,10
unhappy,10
upset,59
outrage,109
ass,393
damn,1124
covidiot,72
terrify,3
terrified,42
terrifying,52
distrust,33
scare,131
scared,275
scaring,15
dread,9
failed,361
failed,361
failure,303
fuck,948
fucking,857
miserable,37
regret,101
shock,80
shocked,114
negligence,63
betrayed,17
cry,95
crying,70
idiot,356
idiots,302
selfish,321
upheaval,2
mess,146
crisis,1927
horrible,143
violence,270
abuse,123
rape,14
stupid,878
