words,ocurrences
panic,143
fear,517
sad,376
mental,485
mind,411
sorry,302
shame,377
hate,379
hell,258
bad,616
feel,541
feeling,240
shit,468
worst,344
worse,458
blame,358
lonely,18
chaos,57
mad,71
ruined,49
anxiety,166
stress,229
stressed,57
phobia,7
shame,377
hurt,112
disorder,41
loneliness,21
turmoil,12
anger,168
horror,72
rage,20
fate,34
nervous,23
restless,5
depression,123
grief,51
worry,214
worried,204
angst,4
depressed,55
suicide,57
suffer,162
suffering,606
uncertainty,73
uneasy,3
sadness,19
afraid,151
alone,297
suicidal,10
mood,30
tension,15
anxious,48
desperate,56
dismal,22
exhausted,109
insecure,8
distress,39
distressed,8
frustration,26
disgusting,101
boredom,3
bored,14
insane,102
stupidity,89
bullshit,169
uncertain,30
displeased,1
uncomfortable,17
melancholy,0
overwhelmed,74
pessimistic,0
unhappy,12
upset,27
outrage,39
ass,151
damn,198
covidiot,16
terrify,2
terrified,20
terrifying,21
distrust,7
scare,145
scared,123
scaring,7
dread,6
failed,396
failed,396
failure,219
fuck,323
fucking,283
miserable,43
regret,51
shock,56
shocked,73
negligence,74
betrayed,2
cry,67
crying,54
idiot,136
idiots,133
selfish,75
upheaval,4
mess,81
crisis,1309
horrible,67
violence,252
abuse,95
rape,17
stupid,394
