words,ocurrences
panic,70
fear,305
sad,212
mental,196
mind,131
sorry,151
shame,132
hate,126
hell,164
bad,358
feel,279
feeling,93
shit,302
worst,218
worse,270
blame,159
lonely,6
chaos,52
mad,41
ruined,15
anxiety,56
stress,85
stressed,42
phobia,3
shame,132
hurt,43
disorder,16
loneliness,16
turmoil,4
anger,151
horror,21
rage,9
fate,38
nervous,13
restless,0
depression,34
grief,46
worry,110
worried,102
angst,23
depressed,11
suicide,28
suffer,64
suffering,121
uncertainty,29
uneasy,3
sadness,12
afraid,57
alone,141
suicidal,3
mood,10
tension,4
anxious,7
desperate,27
dismal,3
exhausted,8
insecure,3
distress,20
distressed,3
frustration,111
disgusting,110
boredom,2
bored,3
insane,78
stupidity,73
bullshit,108
uncertain,8
displeased,1
uncomfortable,5
melancholy,0
overwhelmed,66
pessimistic,1
unhappy,5
upset,17
outrage,15
ass,107
damn,136
covidiot,15
terrify,5
terrified,8
terrifying,13
distrust,13
scare,52
scared,69
scaring,3
dread,1
failed,156
failed,156
failure,202
fuck,224
fucking,173
miserable,10
regret,13
shock,10
shocked,26
negligence,31
betrayed,5
cry,28
crying,27
idiot,93
idiots,113
selfish,76
upheaval,3
mess,47
crisis,540
horrible,52
violence,92
abuse,60
rape,12
stupid,262
