word,count
covid,81110
19,71007
covid19,45630
coronavirus,22759
vaccine,20720
india,16617
cases,15265
amp,13768
people,13617
new,12446
pandemic,12131
get,10478
may,9576
health,8384
vaccines,8023
2021,7741
us,7721
vaccination,6970
one,6968
news,6603
help,5994
via,5980
deaths,5971
vaccinated,5764
please,5539
need,5325
time,5060
like,5016
today,4985
positive,4902
day,4895
due,4860
government,4769
year,4752
administration,4739
world,4458
first,4240
virus,4004
available,3974
many,3916
still,3910
ipl,3843
country,3821
last,3779
lockdown,3776
trump,3772
oxygen,3771
pfizer,3769
state,3705
well,3678
know,3667
take,3614
situation,3564
says,3560
also,3528
much,3515
crisis,3456
restrictions,3426
would,3331
stop,3302
05,3278
could,3246
even,3239
work,3222
hospital,3217
see,3168
million,3155
support,3145
patients,3134
public,3125
good,3115
week,3102
home,3003
test,2933
care,2927
said,2898
go,2885
number,2843
spread,2808
back,2801
make,2793
getting,2788
data,2773
free,2758
days,2757
indian,2720
medical,2686
wave,2658
read,2654
going,2637
safe,2626
second,2574
000,2556
re,2539
let,2529
12,2520
children,2512
way,2479
sign,2456
biden,2436
live,2433
delhi,2432
potus,2430
tuesday,2405
want,2393
every,2381
20,2380
death,2363
next,2352
life,2345
15,2337
update,2328
doses,2323
county,2314
say,2311
since,2289
mask,2283
two,2265
keep,2243
suspended,2239
soon,2235
right,2216
got,2201
risk,2201
latest,2191
states,2183
total,2164
fight,2160
use,2143
10,2139
reported,2135
04,2129
give,2126
must,2121
dr,2116
uk,2109
daily,2108
thanks,2105
testing,2095
reports,2092
stay,2084
high,2084
appointments,2054
everyone,2038
lives,2036
00,2018
emergency,2010
think,2003
times,2001
business,2001
tested,1978
countries,1973
pm,1972
family,1965
near,1958
global,1952
ve,1949
report,1946
dose,1943
govt,1940
2020,1935
travel,1924
surge,1904
community,1895
students,1884
great,1884
rate,1884
canada,1882
tests,1876
case,1856
check,1846
ipl2021,1838
immunity,1824
president,1817
end,1817
shot,1813
amid,1802
worse,1800
china,1799
really,1787
school,1786
per,1778
full,1755
long,1744
modi,1742
another,1741
least,1737
come,1733
around,1728
infections,1727
thank,1720
information,1701
months,1696
media,1692
across,1683
recovery,1660
corona,1653
18,1649
vaccinations,1644
fully,1643
made,1629
open,1623
better,1619
cvs,1618
find,1614
kids,1608
hope,1608
masks,1605
years,1589
weeks,1586
social,1568
safety,1567
already,1563
minister,1561
response,1560
workers,1558
florida,1548
money,1546
impact,1543
hospitals,1525
variants,1521
infection,1514
never,1511
population,1510
died,1504
ca,1498
important,1490
study,1486
24,1478
change,1476
post,1470
without,1467
continue,1466
look,1466
watch,1457
breaking,1454
local,1453
best,1444
updates,1440
disease,1439
variant,1429
follow,1421
research,1417
experiencing,1417
part,1414
21,1413
yet,1404
measures,1398
save,1398
system,1397
share,1391
relief,1389
person,1386
bcci,1383
big,1378
recovered,1378
city,1377
done,1372
article,1371
start,1370
science,1356
active,1351
call,1348
immigration,1346
immigrants,1338
numbers,1332
team,1331
group,1331
11,1326
including,1321
face,1320
working,1319
needs,1316
month,1315
received,1314
confirmed,1309
ontario,1307
visit,1306
hours,1304
dv2021,1302
100,1300
past,1295
covidindia,1292
learn,1292
kcc_not_working,1292
players,1284
online,1284
narendramodi,1284
far,1278
set,1277
doctors,1276
healthcare,1275
dv,1275
plasma,1273
blood,1271
weaponized,1268
join,1267
age,1261
control,1257
schools,1249
among,1242
taking,1239
patient,1230
appointment,1230
staff,1222
outbreak,1219
real,1216
april,1215
protect,1215
covidemergencyindia,1208
herd,1206
however,1204
food,1204
national,1198
love,1196
league,1196
americans,1189
fda,1189
centre,1183
making,1183
south,1179
gov,1177
announced,1171
related,1164
quarantine,1163
less,1162
the,1155
pmoindia,1154
resources,1148
anyone,1147
show,1143
increase,1140
order,1139
away,1138
place,1132
50,1132
pa,1132
others,1130
current,1127
together,1126
70,1126
premier,1121
coming,1119
in,1115
enough,1114
