words,ocurrences
panic,204
fear,669
sad,769
mental,678
mind,543
sorry,971
shame,454
hate,370
hell,561
bad,1357
feel,1203
feeling,446
shit,1101
worst,1075
worse,1159
blame,544
lonely,21
chaos,315
mad,197
ruined,51
anxiety,243
stress,311
stressed,67
phobia,4
shame,454
hurt,135
disorder,53
loneliness,54
turmoil,35
anger,87
horror,183
rage,50
fate,30
nervous,46
restless,3
depression,138
grief,105
worry,407
worried,424
angst,4
depressed,34
suicide,88
suffer,205
suffering,427
uncertainty,168
uneasy,5
sadness,26
afraid,200
alone,574
suicidal,14
mood,59
tension,16
anxious,64
desperate,143
dismal,27
exhausted,91
insecure,4
distress,42
distressed,10
frustration,75
disgusting,301
boredom,7
bored,41
insane,188
stupidity,191
bullshit,248
uncertain,71
displeased,0
uncomfortable,25
melancholy,1
overwhelmed,522
pessimistic,4
unhappy,8
upset,102
outrage,50
ass,282
damn,484
covidiot,72
terrify,0
terrified,49
terrifying,119
distrust,32
scare,144
scared,208
scaring,17
dread,12
failed,625
failed,625
failure,569
fuck,1156
fucking,1210
miserable,22
regret,61
shock,121
shocked,146
negligence,129
betrayed,14
cry,102
crying,121
idiot,221
idiots,341
selfish,263
upheaval,14
mess,244
crisis,2128
horrible,194
violence,742
abuse,154
rape,11
stupid,681
