words,ocurrences
panic,360
fear,465
sad,234
mental,310
mind,302
sorry,233
shame,148
hate,207
hell,230
bad,592
feel,452
feeling,154
shit,484
worst,192
worse,346
blame,294
lonely,3
chaos,64
mad,79
ruined,21
anxiety,119
stress,114
stressed,25
phobia,2
shame,148
hurt,69
disorder,47
loneliness,11
turmoil,26
anger,19
horror,19
rage,39
fate,21
nervous,36
restless,0
depression,60
grief,38
worry,162
worried,173
angst,8
depressed,17
suicide,41
suffer,130
suffering,190
uncertainty,95
uneasy,3
sadness,12
afraid,97
alone,191
suicidal,9
mood,13
tension,7
anxious,18
desperate,42
dismal,3
exhausted,24
insecure,7
distress,20
distressed,3
frustration,28
disgusting,97
boredom,0
bored,5
insane,138
stupidity,101
bullshit,164
uncertain,56
displeased,0
uncomfortable,10
melancholy,0
overwhelmed,57
pessimistic,3
unhappy,5
upset,28
outrage,19
ass,145
damn,232
covidiot,90
terrify,2
terrified,12
terrifying,23
distrust,15
scare,124
scared,90
scaring,8
dread,3
failed,202
failed,202
failure,300
fuck,447
fucking,342
miserable,14
regret,27
shock,28
shocked,51
negligence,36
betrayed,6
cry,35
crying,32
idiot,124
idiots,125
selfish,76
upheaval,3
mess,54
crisis,491
horrible,60
violence,177
abuse,91
rape,29
stupid,396
