words,ocurrences
panic,375
fear,710
sad,451
mental,605
mind,589
sorry,328
shame,576
hate,428
hell,337
bad,1105
feel,845
feeling,311
shit,594
worst,656
worse,537
blame,596
lonely,23
chaos,136
mad,126
ruined,52
anxiety,209
stress,320
stressed,60
phobia,4
shame,576
hurt,101
disorder,45
loneliness,33
turmoil,7
anger,73
horror,33
rage,22
fate,40
nervous,34
restless,3
depression,105
grief,73
worry,305
worried,311
angst,6
depressed,39
suicide,71
suffer,173
suffering,567
uncertainty,107
uneasy,4
sadness,19
afraid,154
alone,323
suicidal,8
mood,59
tension,15
anxious,55
desperate,137
dismal,9
exhausted,29
insecure,17
distress,39
distressed,7
frustration,37
disgusting,180
boredom,4
bored,16
insane,107
stupidity,136
bullshit,131
uncertain,59
displeased,0
uncomfortable,14
melancholy,0
overwhelmed,87
pessimistic,3
unhappy,16
upset,37
outrage,87
ass,185
damn,298
covidiot,56
terrify,4
terrified,34
terrifying,63
distrust,15
scare,94
scared,282
scaring,9
dread,2
failed,511
failed,511
failure,463
fuck,527
fucking,427
miserable,29
regret,47
shock,72
shocked,75
negligence,78
betrayed,9
cry,78
crying,111
idiot,207
idiots,205
selfish,101
upheaval,6
mess,196
crisis,1920
horrible,130
violence,312
abuse,211
rape,21
stupid,435
