words,ocurrences
panic,2539
fear,1524
sad,467
mental,205
mind,536
sorry,548
shame,179
hate,500
hell,455
bad,1676
feel,1275
feeling,458
shit,1869
worst,716
worse,1491
blame,560
lonely,17
chaos,229
mad,297
ruined,102
anxiety,445
stress,256
stressed,70
phobia,8
shame,179
hurt,259
disorder,26
loneliness,10
turmoil,79
anger,34
horror,57
rage,24
fate,39
nervous,107
restless,5
depression,51
grief,21
worry,738
worried,1217
angst,11
depressed,37
suicide,44
suffer,137
suffering,191
uncertainty,194
uneasy,9
sadness,25
afraid,397
alone,335
suicidal,8
mood,64
tension,7
anxious,112
desperate,71
dismal,15
exhausted,48
insecure,34
distress,25
distressed,5
frustration,27
disgusting,123
boredom,11
bored,74
insane,148
stupidity,135
bullshit,230
uncertain,80
displeased,0
uncomfortable,19
melancholy,1
overwhelmed,170
pessimistic,4
unhappy,12
upset,140
outrage,47
ass,652
damn,804
covidiot,0
terrify,2
terrified,96
terrifying,117
distrust,9
scare,922
scared,832
scaring,59
dread,14
failed,226
failed,226
failure,264
fuck,1447
fucking,1031
miserable,28
regret,108
shock,233
shocked,59
negligence,37
betrayed,1
cry,77
crying,82
idiot,246
idiots,196
selfish,133
upheaval,7
mess,160
crisis,2656
horrible,85
violence,57
abuse,34
rape,15
stupid,674
