words,ocurrences
panic,358
fear,392
sad,221
mental,175
mind,237
sorry,169
shame,117
hate,123
hell,167
bad,383
feel,336
feeling,123
shit,310
worst,219
worse,308
blame,298
lonely,20
chaos,38
mad,55
ruined,18
anxiety,48
stress,77
stressed,14
phobia,5
shame,117
hurt,33
disorder,35
loneliness,6
turmoil,16
anger,27
horror,14
rage,18
fate,21
nervous,23
restless,1
depression,28
grief,23
worry,107
worried,120
angst,2
depressed,10
suicide,39
suffer,171
suffering,107
uncertainty,46
uneasy,2
sadness,9
afraid,89
alone,134
suicidal,2
mood,8
tension,8
anxious,12
desperate,28
dismal,3
exhausted,17
insecure,6
distress,3
distressed,6
frustration,65
disgusting,89
boredom,1
bored,6
insane,76
stupidity,104
bullshit,120
uncertain,48
displeased,0
uncomfortable,11
melancholy,0
overwhelmed,33
pessimistic,3
unhappy,10
upset,26
outrage,9
ass,105
damn,182
covidiot,41
terrify,2
terrified,15
terrifying,25
distrust,8
scare,100
scared,76
scaring,8
dread,4
failed,154
failed,154
failure,135
fuck,288
fucking,251
miserable,10
regret,16
shock,20
shocked,100
negligence,26
betrayed,8
cry,29
crying,40
idiot,147
idiots,102
selfish,64
upheaval,2
mess,50
crisis,325
horrible,45
violence,186
abuse,91
rape,7
stupid,411
