words,ocurrences
panic,518
fear,1853
sad,1376
mental,1264
mind,1169
sorry,1016
shame,754
hate,914
hell,948
bad,2418
feel,2174
feeling,813
shit,1903
worst,1626
worse,1723
blame,1197
lonely,116
chaos,355
mad,568
ruined,141
anxiety,549
stress,636
stressed,134
phobia,15
shame,754
hurt,298
disorder,135
loneliness,92
turmoil,39
anger,205
horror,127
rage,135
fate,127
nervous,77
restless,13
depression,417
grief,157
worry,626
worried,714
angst,16
depressed,68
suicide,436
suffer,520
suffering,789
uncertainty,343
uneasy,30
sadness,66
afraid,623
alone,1052
suicidal,37
mood,168
tension,50
anxious,170
desperate,327
dismal,20
exhausted,66
insecure,31
distress,104
distressed,33
frustration,98
disgusting,351
boredom,58
bored,216
insane,295
stupidity,431
bullshit,589
uncertain,177
displeased,1
uncomfortable,65
melancholy,7
overwhelmed,249
pessimistic,15
unhappy,18
upset,183
outrage,146
ass,738
damn,860
covidiot,130
terrify,4
terrified,102
terrifying,149
distrust,15
scare,240
scared,651
scaring,33
dread,26
failed,1152
failed,1152
failure,773
fuck,1526
fucking,1354
miserable,73
regret,101
shock,332
shocked,231
negligence,254
betrayed,11
cry,224
crying,199
idiot,654
idiots,664
selfish,417
upheaval,15
mess,377
crisis,8872
horrible,323
violence,640
abuse,623
rape,53
stupid,1518
