word,count
covid,76368
19,67443
covid19,47820
coronavirus,46125
cases,20453
new,17922
trump,17854
amp,16969
people,16550
pandemic,14581
deaths,10888
vote,10862
us,10375
health,9461
get,7678
one,7649
election,7356
day,7288
today,7213
lockdown,7106
like,6737
via,6704
000,6518
news,6483
positive,6343
virus,6293
vaccine,6147
2020,6074
realdonaldtrump,5876
time,5800
help,5652
would,5483
still,5409
need,5335
many,5080
please,5052
world,4883
go,4870
government,4761
testing,4714
test,4702
death,4692
due,4668
uk,4508
see,4476
know,4467
americans,4416
biden,4400
last,4369
may,4228
could,4217
going,4208
even,4207
good,4181
work,4155
care,4134
says,3998
country,3984
mask,3958
spread,3921
president,3915
take,3897
year,3856
support,3676
week,3673
read,3638
well,3608
first,3601
make,3557
re,3536
back,3514
public,3478
response,3467
said,3459
state,3455
think,3435
number,3414
also,3411
november,3380
latest,3359
home,3333
let,3300
since,3244
tests,3239
economy,3162
update,3146
patients,3138
right,3111
total,3010
restrictions,2994
america,2983
daily,2980
keep,2977
safe,2935
died,2924
way,2919
11,2888
another,2879
rate,2859
want,2842
masks,2825
two,2820
china,2802
states,2799
must,2788
say,2784
data,2753
really,2749
voting,2742
months,2722
10,2712
children,2705
million,2705
stop,2691
risk,2689
second,2677
stay,2671
great,2665
record,2664
much,2656
days,2655
business,2631
tested,2613
live,2610
dr,2596
high,2587
lives,2562
impact,2559
numbers,2557
nov,2550
got,2549
school,2520
plan,2514
reported,2424
every,2407
person,2405
better,2404
life,2398
county,2386
look,2381
cdc,2374
long,2360
report,2360
open,2343
study,2330
end,2330
case,2314
top,2304
everyone,2298
crisis,2291
never,2285
tuesday,2276
reports,2274
india,2265
schools,2260
social,2215
important,2214
free,2204
dead,2195
global,2193
times,2177
voters,2176
election2020,2155
use,2130
years,2109
next,2105
ve,2072
family,2057
hope,2039
face,2023
done,1983
find,1967
american,1965
joebiden,1959
made,1948
wave,1945
infections,1944
control,1929
yet,1923
healthcare,1918
around,1917
across,1910
electionday,1909
flu,1888
thanks,1887
usa,1882
hospital,1835
watch,1830
community,1825
wear,1813
science,1809
come,1809
safety,1802
continue,1801
medical,1796
thank,1794
information,1790
measures,1789
workers,1788
nothing,1787
infected,1780
working,1770
soon,1768
post,1765
businesses,1760
20,1751
real,1742
national,1738
rise,1734
fight,1729
amid,1712
england,1711
call,1710
disease,1708
active,1700
check,1698
outbreak,1685
joe,1680
recovery,1679
city,1670
already,1665
countries,1656
die,1656
job,1653
change,1651
getting,1650
learn,1648
system,1647
best,1643
confirmed,1630
women,1626
house,1625
sure,1623
follow,1621
ca,1618
place,1617
means,1616
early,1599
infection,1592
issues,1592
students,1591
without,1591
quarantine,1589
ever,1589
put,1582
economic,1577
far,1575
part,1572
gop,1570
believe,1568
protect,1548
highest,1545
weeks,1539
research,1534
updates,1529
thing,1525
team,1517
away,1514
big,1507
staff,1507
lost,1505
money,1505
close,1498
travel,1498
gt,1497
future,1484
markets,1482
deadly,1472
population,1472
sick,1464
join,1463
europe,1457
white,1454
wearing,1453
local,1451
including,1451
give,1451
market,1449
polls,1445
results,1431
hospitals,1430
despite,1429
per,1425
full,1417
hours,1417
needs,1417
media,1417
symptoms,1416
corona,1413
show,1401
increase,1400
major,1400
remember,1397
kids,1392
voted,1389
contact,1387
others,1387
related,1387
article,1384
anyone,1379
30,1365
available,1365
surge,1361
party,1360
man,1358
canada,1358
things,1354
online,1340
donald,1338
love,1333
coming,1333
bad,1327
24,1322
lockdowns,1312
bidenharris2020,1312
100,1303
god,1297
12,1297
ahead,1292
least,1283
recovered,1280
liverpool,1280
fauci,1280
start,1275
minister,1268
save,1265
taking,1250
enough,1242
15,1241
distancing,1241
in,1240
someone,1240
might,1233
win,1232
boris,1227
hit,1207
mean,1205
lies,1204
ontario,1201
trying,1188
self,1187
jobs,1182
cnn,1177
tell,1177
expect,1177
air,1176
always,1175
following,1173
nhs,1172
yes,1171
season,1170
rallies,1170
share,1169
according,1168
wrong,1167
pm,1167
visit,1163
the,1161
hard,1160
leadership,1152
left,1152
human,1152
action,1151
past,1151
old,1150
month,1150
called,1144
something,1137
services,1136
birx,1134
three,1128
potential,1127
app,1126
current,1125
united,1125
ll,1124
families,1121
lot,1121
actually,1118
wait,1116
experts,1116
together,1115
october,1111
feel,1110
less,1106
bring,1106
rules,1104
food,1100
tomorrow,1100
thousands,1097
closed,1096
likely,1088
oh,1085
spreading,1085
issue,1082
using,1080
non,1078
everything,1075
line,1074
03,1073
phase,1069
political,1068
looking,1066
low,1065
saying,1061
breaking,1060
millions,1059
march,1053
story,1051
normal,1051
used,1049
thought,1049
football,1049
mental,1037
gov,1033
game,1032
whole,1030
small,1027
point,1024
wants,1023
possible,1021
making,1020
set,1017
situation,1014
among,1014
campaign,1014
critical,1014
lie,1012
threat,1011
office,1011
worse,1011
true,1009
video,1005
term,1004
yesterday,1001
education,1000
democrats,995
officials,995
mass,994
14,991
failed,991
toll,990
doctors,988
talk,987
rates,985
different,983
johnson,981
dying,980
police,980
almost,980
poll,977
found,976
immunity,975
florida,973
spain,972
50,970
hands,970
little,961
shit,961
told,960
key,959
monday,957
shows,956
four,952
provide,950
hear,949
industry,949
higher,947
friends,946
scientists,945
fear,944
ago,942
seen,937
covid_19,936
list,934
leader,934
break,933
guidelines,932
listen,925
fact,924
youtube,922
nation,921
south,921
trust,920
makes,918
order,918
cause,912
announced,910
sarscov2,909
service,906
late,905
tonight,905
negative,905
maybe,904
policy,903
given,899
all,899
play,898
source,897
rising,896
based,896
anything,894
obama,892
single,892
continues,890
morning,890
approval,887
interesting,886
spike,884
security,884
leaders,883
six,882
able,880
affected,878
sense,878
18,876
advice,876
borisjohnson,874
2021,873
longer,873
super,870
handling,865
john,863
seriously,862
international,862
false,861
understand,859
fuck,858
gone,858
2nd,858
access,856
result,855
govt,852
mandatory,851
france,849
link,848
13,847
force,847
december,846
wins,845
prevent,844
truth,844
records,843
level,842
pay,842
law,841
york,840
treatment,836
residents,836
rest,835
especially,833
republican,832
date,832
germany,830
votebidenharristosaveamerica,830
wisconsin,830
reason,829
administration,829
challenges,828
serious,828
thursday,827
na,824
worst,823
sir,823
rights,823
homes,821
act,821
sad,818
increased,818
tax,816
taken,816
emergency,816
rapid,816
evidence,812
north,809
relief,807
needed,806
info,806
head,805
africa,805
members,800
ones,799
co,799
website,798
vaccines,795
warns,794
black,794
caused,793
matter,789
updated,788
scheme,787
event,786
deal,785
group,784
recent,782
reporting,782
learning,777
sign,777
else,776
hospitalizations,776
adviser,776
transmission,773
become,771
fire,770
events,770
night,770
ai,769
worried,766
resolved,765
ways,764
killed,764
texas,763
living,761
politics,761
virtual,758
guidance,758
governor,758
nearly,757
within,756
winter,756
fucking,755
61,752
parents,751
tips,750
democrat,749
doctor,749
exit,749
details,746
digital,746
five,745
citizens,744
facing,743
currently,742
instead,739
elections,739
seems,736
gets,733
took,733
lock,727
vs,726
sweden,725
university,725
though,724
positivity,723
players,722
chief,722
forward,722
looks,722
australia,719
sars,719
survey,715
analysis,714
program,714
financial,712
additional,711
mail,711
buy,710
17,708
wo,708
isolation,708
progress,707
knew,706
killing,705
changes,705
talking,704
went,704
unknowns,704
april,703
stupid,699
99,699
25,697
vote2020,697
book,696
federal,692
eu,692
effect,692
department,691
patient,688
clear,688
power,686
project,686
technology,685
although,685
remain,685
happen,683
votes,683
young,682
course,680
immune,679
probably,679
230,678
coronaviruspandemic,677
chinese,676
recorded,675
elections2020,674
etc,673
christmas,672
responsible,671
age,671
approach,668
later,668
shut,667
problem,667
700,665
mind,664
behind,663
lose,662
growth,661
delhi,660
border,660
healthy,659
allowed,659
started,658
webinar,658
area,656
common,656
ask,656
vaccination,656
register,655
wow,654
demand,652
rt,652
wonder,652
40,651
500,651
whether,651
forecast,651
plans,649
outside,649
forget,649
staysafe,648
dangerous,648
questions,648
hold,644
absolutely,642
history,641
question,641
effects,641
happy,640
out,640
run,640
folks,639
move,638
ohio,638
lied,636
loved,635
uae,634
red,633
led,633
half,632
kill,632
ensure,632
happened,631
try,630
twitter,627
lead,627
war,627
average,626
experience,625
electionnight,624
pcr,624
warning,623
huge,623
role,623
pre,622
votehimout,622
running,621
tracing,621
distance,619
loss,619
fighting,618
changed,618
failure,616
communities,616
republicans,616
comes,615
throughout,613
third,613
unemployment,611
heart,611
companies,611
biggest,608
created,607
amazing,607
track,606
fake,606
funding,606
cities,605
anti,605
blood,605
official,604
hello,604
poor,603
along,603
sorry,603
paid,602
protocols,601
cold,600
it,600
sector,599
hand,599
blog,597
alone,597
large,597
however,596
strict,596
helping,593
ready,592
company,592
ballots,591
count,591
levels,590
polling,588
lol,587
finds,587
ok,587
ballot,587
keeping,584
strategy,584
california,584
finally,582
icu,582
00,581
claims,580
tech,580
petition,580
recoveries,579
areas,579
general,578
weather,578
cycle,578
kamalaharris,576
200,576
trumps,573
gon,573
severe,572
3rd,571
climate,570
effective,570
figures,569
guy,569
novel,569
concerns,567
nfl,567
lying,566
seeing,566
either,566
inside,566
literally,565
essential,565
potus,564
idea,564
lack,563
region,563
sports,563
message,562
supporting,561
management,560
places,560
facts,560
bank,559
increasing,559
center,558
avoid,557
expected,556
fund,555
guess,555
efforts,555
wish,552
child,551
reduce,550
cast,549
college,549
august,549
billion,549
recovere,549
nigeria,548
thinking,548
trial,546
site,545
russia,542
attacks,542
hate,542
21,541
16,541
precautions,539
oct,538
zero,538
entire,537
short,536
employees,536
goes,533
mr,533
decision,531
yeah,531
discuss,531
task,530
hi,529
hoax,528
thread,527
several,527
leading,527
director,527
vulnerable,526
focus,526
wake,526
voter,526
click,525
wash,524
optimism,524
european,521
prime,520
development,520
student,519
wearamask,519
23,517
period,517
light,516
exposed,515
starting,514
fall,514
hey,514
heard,514
calling,513
candidate,513
resources,512
regarding,512
came,512
2019,512
complete,512
opportunity,512
proud,511
maga,511
cov,511
80,511
weekend,510
agree,509
received,509
address,509
society,508
damn,508
hospitalized,508
waiting,508
asked,508
court,507
problems,507
pretty,507
friday,507
bidenharris,506
urging,506
restaurants,506
nursing,505
we,505
happening,505
return,504
exposure,503
district,503
capacity,501
harris,501
significant,501
protection,500
nice,499
ppl,499
whitehouse,498
slow,498
31,498
volatility,498
bc,497
housing,497
leave,496
blame,495
centre,494
kind,494
beyond,494
hundreds,493
fine,493
korea,492
church,492
alert,492
chance,492
covid19uk,492
bit,491
pennsylvania,491
worth,490
cough,489
worldwide,488
teachers,488
elderly,488
contradicts,488
african,488
contagious,487
released,485
insurance,485
view,485
spanish,484
and,484
member,482
fast,482
takes,482
held,482
trace,481
28,481
miss,480
hell,480
scotland,480
ceo,479
entering,479
cancer,479
west,479
giving,479
urgent,479
elway,478
near,477
supporters,477
wide,476
pregnant,476
guys,476
victims,475
recently,474
speak,474
protests,472
fault,470
turn,470
mortality,470
charge,468
worked,468
ppe,468
sales,468
ministry,466
nurses,465
trends,465
province,465
bbc,465
note,465
cost,464
corner,464
imagine,463
tweet,463
reality,463
forced,462
conditions,461
special,461
calls,461
democracy,460
blue,460
premier,460
stand,459
researchers,459
developed,458
to,457
impacted,456
up,456
allow,456
trade,455
lockdown2,455
freedom,454
affect,454
joke,454
statement,454
survive,453
indian,453
meeting,453
cancelled,452
strong,451
victoria,451
60,451
account,451
training,450
trump2020,450
published,450
page,449
rally,448
this,448
asymptomatic,447
bill,447
difficult,447
48,446
22,445
words,444
apply,444
reasons,444
percent,443
knows,443
rather,442
safely,442
answer,442
exactly,442
extended,441
meet,440
january,440
clinical,439
challenge,439
saturday,439
middle,438
plus,438
personal,438
washington,438
400,437
earlier,437
sharing,437
drop,437
income,437
broncos,437
saw,436
herd,435
spreader,435
reach,434
reminder,434
bringing,433
step,432
song,432
237,431
dies,430
27,430
playing,430
risks,430
conspiracy,430
review,430
alberta,430
name,429
telling,429
majority,429
ongoing,429
watching,428
231,428
michigan,428
parliament,428
brought,427
concerned,427
st,427
corrupt,426
47,426
expert,425
physical,425
responsibility,425
wednesday,425
league,425
pakistan,424
idiot,424
catch,424
stress,424
customers,423
achieve,423
outdoors,423
mark,422
illness,422
former,422
games,422
stimulus,421
politicians,421
weekly,421
opening,421
presidential,420
wales,420
showing,419
private,419
dear,419
cure,419
nations,418
policies,417
powerful,417
curfew,417
elected,417
race,417
educate,416
halloween,416
arizona,416
works,415
anxiety,414
debt,413
explain,412
gave,411
create,411
foreign,410
lower,410
seniors,410
supported,409
suffering,408
london,408
type,408
press,407
class,407
ireland,407
scientific,406
1st,406
you,405
teams,405
passed,404
georgia,404
september,404
no,403
shot,403
process,403
fraud,401
known,401
example,400
final,400
room,400
bluntly,400
sunday,400
70,399
brexit,399
ass,397
deborah,397
front,396
completely,396
side,396
2016,396
massive,395
woman,395
foxnews,395
series,395
struggling,395
planning,394
closing,394
tv,394
45,393
beginning,392
voice,391
easy,391
ill,390
professionals,390
paper,390
offer,389
announcement,389
extremely,389
growing,388
asking,388
seven,388
moment,387
prevention,386
add,386
isolate,386
tally,385
conference,385
49,384
drive,384
send,384
excellent,384
announces,383
putting,383
racist,383
hopefully,382
friend,381
ignore,381
mentalhealth,381
pilot,380
lab,380
beat,379
26,379
manage,379
cover,379
release,378
drug,378
worry,378
232,378
taxes,377
remains,377
cares,377
civil,377
lockdown2uk,377
medicine,376
added,376
music,374
battle,374
recover,373
stock,373
covidiots,373
podcast,372
stats,372
model,372
none,372
june,372
genuinely,371
fordnation,371
till,370
wanted,370
reading,370
pass,370
prison,370
missouri,369
impacts,369
men,369
dont,369
incompetent,368
oil,367
choice,367
voteblue,367
sees,367
prepare,367
consider,366
racial,366
indoor,366
faces,366
ends,366
lines,365
handled,365
cut,364
unless,364
supply,364
29,364
coverage,364
justice,364
blm,364
steps,363
systems,363
improve,363
racism,363
sadly,363
status,362
authorities,362
greater,362
water,362
counties,362
empty,361
helped,361
lakh,360
blacklivesmatter,360
success,359
piece,359
remote,359
governments,358
smart,358
funds,358
practice,358
legal,358
continuing,357
required,357
extra,356
began,356
damage,356
environment,356
kenya,356
outbreaks,356
5th,356
feeling,355
300,355
welcome,355
fox,354
awareness,354
nobody,354
rule,354
75,353
if,353
minutes,352
et,352
onpoli,352
interview,352
necessary,351
facilities,351
nytimes,351
william,351
gatherings,350
canadian,350
donaldjtrumpjr,349
letter,349
attention,349
individuals,349
shame,348
download,348
52,348
limited,348
more,348
dystopian,348
council,347
simple,347
protest,347
happens,347
map,346
90,346
east,346
cyber,346
studies,346
34,346
beds,346
furlough,346
boy,345
stories,345
caught,345
stage,345
interact,345
adults,344
straight,344
nsw,344
british,344
word,344
aid,344
english,343
town,343
worker,342
suspended,342
raise,342
seem,342
violence,342
empower,341
groups,341
trials,341
stayhome,341
ban,341
toronto,341
email,340
loan,340
opinion,339
totally,339
46,339
fully,339
reopen,339
rich,339
main,338
democratic,338
marketing,338
orders,337
division,337
