words,ocurrences
panic,135
fear,980
sad,257
mental,391
mind,327
sorry,303
shame,181
hate,545
hell,319
bad,770
feel,500
feeling,174
shit,703
worst,468
worse,746
blame,254
lonely,10
chaos,293
mad,74
ruined,27
anxiety,127
stress,126
stressed,38
phobia,2
shame,181
hurt,68
disorder,18
loneliness,33
turmoil,12
anger,41
horror,32
rage,22
fate,23
nervous,36
restless,2
depression,114
grief,102
worry,201
worried,262
angst,2
depressed,11
suicide,38
suffer,148
suffering,249
uncertainty,88
uneasy,9
sadness,16
afraid,116
alone,223
suicidal,10
mood,21
tension,6
anxious,37
desperate,59
dismal,4
exhausted,38
insecure,13
distress,37
distressed,4
frustration,16
disgusting,90
boredom,2
bored,20
insane,98
stupidity,213
bullshit,165
uncertain,33
displeased,2
uncomfortable,23
melancholy,0
overwhelmed,73
pessimistic,4
unhappy,9
upset,35
outrage,33
ass,178
damn,350
covidiot,16
terrify,2
terrified,17
terrifying,366
distrust,7
scare,120
scared,133
scaring,9
dread,7
failed,291
failed,291
failure,219
fuck,499
fucking,398
miserable,16
regret,38
shock,83
shocked,86
negligence,44
betrayed,3
cry,53
crying,39
idiot,154
idiots,148
selfish,85
upheaval,2
mess,119
crisis,1202
horrible,67
violence,214
abuse,77
rape,15
stupid,456
