words,ocurrences
panic,460
fear,1693
sad,1121
mental,1312
mind,934
sorry,804
shame,666
hate,982
hell,825
bad,2087
feel,1935
feeling,579
shit,1852
worst,2441
worse,2553
blame,1315
lonely,67
chaos,462
mad,288
ruined,110
anxiety,490
stress,562
stressed,138
phobia,7
shame,666
hurt,287
disorder,110
loneliness,127
turmoil,44
anger,105
horror,104
rage,78
fate,71
nervous,160
restless,9
depression,316
grief,129
worry,806
worried,784
angst,9
depressed,70
suicide,477
suffer,570
suffering,720
uncertainty,416
uneasy,14
sadness,37
afraid,412
alone,945
suicidal,19
mood,96
tension,57
anxious,108
desperate,178
dismal,18
exhausted,74
insecure,25
distress,105
distressed,19
frustration,49
disgusting,353
boredom,44
bored,142
insane,271
stupidity,359
bullshit,392
uncertain,234
displeased,0
uncomfortable,99
melancholy,2
overwhelmed,330
pessimistic,12
unhappy,25
upset,115
outrage,123
ass,773
damn,892
covidiot,46
terrify,4
terrified,47
terrifying,114
distrust,16
scare,247
scared,384
scaring,22
dread,17
failed,953
failed,953
failure,806
fuck,1569
fucking,1323
miserable,55
regret,331
shock,349
shocked,240
negligence,231
betrayed,13
cry,155
crying,213
idiot,540
idiots,482
selfish,251
upheaval,23
mess,297
crisis,8776
horrible,272
violence,758
abuse,393
rape,90
stupid,1516
