words,ocurrences
panic,156
fear,559
sad,571
mental,423
mind,422
sorry,538
shame,319
hate,329
hell,528
bad,969
feel,900
feeling,373
shit,867
worst,775
worse,923
blame,383
lonely,51
chaos,212
mad,120
ruined,64
anxiety,191
stress,200
stressed,42
phobia,4
shame,319
hurt,105
disorder,39
loneliness,42
turmoil,20
anger,116
horror,58
rage,29
fate,17
nervous,34
restless,2
depression,144
grief,71
worry,286
worried,234
angst,3
depressed,19
suicide,127
suffer,154
suffering,280
uncertainty,97
uneasy,2
sadness,38
afraid,166
alone,396
suicidal,11
mood,48
tension,6
anxious,44
desperate,101
dismal,38
exhausted,55
insecure,9
distress,27
distressed,8
frustration,88
disgusting,155
boredom,6
bored,30
insane,119
stupidity,159
bullshit,222
uncertain,45
displeased,0
uncomfortable,33
melancholy,0
overwhelmed,126
pessimistic,4
unhappy,7
upset,43
outrage,35
ass,292
damn,459
covidiot,45
terrify,2
terrified,40
terrifying,64
distrust,20
scare,98
scared,188
scaring,9
dread,33
failed,442
failed,442
failure,637
fuck,734
fucking,593
miserable,30
regret,41
shock,79
shocked,92
negligence,115
betrayed,21
cry,63
crying,87
idiot,265
idiots,208
selfish,151
upheaval,6
mess,158
crisis,1208
horrible,150
violence,295
abuse,91
rape,18
stupid,496
