words,ocurrences
panic,115
fear,688
sad,388
mental,913
mind,419
sorry,330
shame,271
hate,331
hell,337
bad,760
feel,934
feeling,365
shit,615
worst,449
worse,489
blame,308
lonely,26
chaos,138
mad,109
ruined,33
anxiety,207
stress,325
stressed,39
phobia,5
shame,271
hurt,157
disorder,39
loneliness,53
turmoil,16
anger,42
horror,36
rage,31
fate,19
nervous,28
restless,1
depression,129
grief,88
worry,321
worried,264
angst,3
depressed,25
suicide,120
suffer,171
suffering,374
uncertainty,147
uneasy,1
sadness,26
afraid,142
alone,399
suicidal,19
mood,41
tension,7
anxious,65
desperate,118
dismal,10
exhausted,57
insecure,11
distress,46
distressed,11
frustration,73
disgusting,116
boredom,10
bored,31
insane,131
stupidity,81
bullshit,153
uncertain,49
displeased,1
uncomfortable,12
melancholy,1
overwhelmed,79
pessimistic,6
unhappy,16
upset,56
outrage,54
ass,189
damn,334
covidiot,36
terrify,1
terrified,24
terrifying,54
distrust,21
scare,75
scared,132
scaring,8
dread,4
failed,343
failed,343
failure,470
fuck,605
fucking,487
miserable,22
regret,41
shock,76
shocked,102
negligence,55
betrayed,12
cry,98
crying,64
idiot,149
idiots,145
selfish,137
upheaval,12
mess,147
crisis,1728
horrible,86
violence,219
abuse,154
rape,10
stupid,413
