words,ocurrences
panic,235
fear,838
sad,593
mental,497
mind,463
sorry,389
shame,306
hate,341
hell,452
bad,987
feel,942
feeling,286
shit,760
worst,848
worse,775
blame,484
lonely,54
chaos,138
mad,110
ruined,92
anxiety,250
stress,250
stressed,42
phobia,9
shame,306
hurt,148
disorder,61
loneliness,42
turmoil,18
anger,38
horror,62
rage,23
fate,24
nervous,69
restless,2
depression,294
grief,97
worry,300
worried,335
angst,4
depressed,28
suicide,151
suffer,175
suffering,337
uncertainty,135
uneasy,5
sadness,17
afraid,150
alone,833
suicidal,16
mood,45
tension,13
anxious,49
desperate,158
dismal,11
exhausted,68
insecure,67
distress,50
distressed,8
frustration,31
disgusting,179
boredom,10
bored,30
insane,124
stupidity,171
bullshit,356
uncertain,76
displeased,0
uncomfortable,41
melancholy,3
overwhelmed,53
pessimistic,12
unhappy,14
upset,82
outrage,228
ass,305
damn,380
covidiot,29
terrify,3
terrified,36
terrifying,46
distrust,36
scare,124
scared,177
scaring,12
dread,23
failed,507
failed,507
failure,543
fuck,592
fucking,522
miserable,26
regret,30
shock,114
shocked,125
negligence,88
betrayed,12
cry,77
crying,56
idiot,271
idiots,290
selfish,283
upheaval,11
mess,183
crisis,2281
horrible,146
violence,240
abuse,138
rape,46
stupid,665
