words,ocurrences
panic,591
fear,685
sad,638
mental,796
mind,489
sorry,383
shame,697
hate,482
hell,515
bad,987
feel,955
feeling,339
shit,678
worst,953
worse,732
blame,654
lonely,18
chaos,146
mad,111
ruined,56
anxiety,237
stress,271
stressed,49
phobia,3
shame,697
hurt,127
disorder,73
loneliness,18
turmoil,6
anger,125
horror,68
rage,34
fate,37
nervous,50
restless,6
depression,121
grief,119
worry,256
worried,317
angst,6
depressed,28
suicide,69
suffer,341
suffering,919
uncertainty,71
uneasy,8
sadness,29
afraid,161
alone,429
suicidal,11
mood,35
tension,31
anxious,54
desperate,185
dismal,7
exhausted,46
insecure,4
distress,63
distressed,18
frustration,46
disgusting,207
boredom,5
bored,20
insane,166
stupidity,189
bullshit,203
uncertain,51
displeased,2
uncomfortable,22
melancholy,1
overwhelmed,258
pessimistic,17
unhappy,7
upset,48
outrage,83
ass,178
damn,269
covidiot,87
terrify,12
terrified,24
terrifying,54
distrust,11
scare,71
scared,154
scaring,16
dread,10
failed,699
failed,699
failure,542
fuck,561
fucking,513
miserable,38
regret,37
shock,74
shocked,97
negligence,137
betrayed,8
cry,118
crying,124
idiot,220
idiots,234
selfish,176
upheaval,7
mess,190
crisis,4545
horrible,161
violence,218
abuse,290
rape,21
stupid,546
