words,ocurrences
panic,830
fear,1797
sad,1815
mental,1022
mind,1152
sorry,1323
shame,1049
hate,1187
hell,1336
bad,2931
feel,2637
feeling,888
shit,2604
worst,1615
worse,1863
blame,1620
lonely,96
chaos,354
mad,418
ruined,127
anxiety,790
stress,561
stressed,150
phobia,8
shame,1049
hurt,302
disorder,61
loneliness,51
turmoil,54
anger,155
horror,164
rage,73
fate,87
nervous,66
restless,25
depression,526
grief,178
worry,825
worried,780
angst,8
depressed,103
suicide,303
suffer,464
suffering,1013
uncertainty,246
uneasy,11
sadness,63
afraid,525
alone,1209
suicidal,28
mood,161
tension,73
anxious,208
desperate,274
dismal,10
exhausted,79
insecure,46
distress,135
distressed,43
frustration,83
disgusting,593
boredom,100
bored,265
insane,357
stupidity,678
bullshit,583
uncertain,160
displeased,0
uncomfortable,55
melancholy,8
overwhelmed,314
pessimistic,13
unhappy,20
upset,149
outrage,153
ass,987
damn,1292
covidiot,260
terrify,11
terrified,98
terrifying,182
distrust,35
scare,269
scared,605
scaring,49
dread,30
failed,979
failed,979
failure,1156
fuck,2430
fucking,2374
miserable,72
regret,95
shock,259
shocked,180
negligence,248
betrayed,43
cry,236
crying,204
idiot,1006
idiots,1078
selfish,853
upheaval,17
mess,321
crisis,10126
horrible,375
violence,458
abuse,401
rape,58
stupid,1860
