word,count
coronavirus,157946
covid19,97940
covid,96409
19,92544
trump,32598
people,32589
amp,32227
pandemic,30877
us,26460
new,25010
via,22409
cases,21303
health,19348
world,18251
news,17129
get,16985
one,16792
china,16494
help,16468
like,16326
time,15456
lockdown,14648
need,14131
deaths,14112
support,13657
crisis,13443
home,13392
virus,13089
would,11813
know,11606
care,10769
government,10477
says,10329
work,10226
please,10198
could,10190
may,10145
see,9903
today,9862
many,9855
good,9651
go,9349
due,9320
response,9306
death,9301
realdonaldtrump,9289
first,9289
day,9261
state,9170
take,9043
workers,8660
going,8634
testing,8578
even,8537
stay,8514
000,8504
spread,8487
still,8404
make,8268
funding,8199
fight,8166
right,8071
back,7934
country,7910
well,7844
said,7740
think,7704
patients,7658
also,7603
re,7593
last,7546
outbreak,7391
let,7340
great,7300
public,7206
2020,7188
uk,7074
positive,7072
president,7059
live,6970
social,6945
read,6877
say,6869
want,6838
way,6781
april,6777
check,6705
much,6560
economy,6494
million,6432
keep,6386
must,6374
business,6351
global,6280
thank,6187
money,6134
really,6100
latest,6069
india,6066
amid,6054
test,6010
stop,5991
times,5987
daily,5832
two,5831
year,5830
every,5788
hospital,5711
life,5587
working,5579
update,5540
days,5483
lives,5381
countries,5321
tests,5210
free,5199
look,5177
total,5174
number,5160
everyone,5157
15,5095
thanks,5082
another,5075
americans,5030
safe,4923
best,4885
data,4881
got,4861
medical,4852
use,4833
call,4817
family,4766
relief,4758
pay,4684
food,4667
next,4664
impact,4654
hope,4653
america,4619
died,4605
come,4568
never,4507
better,4501
officials,4500
tested,4484
long,4474
risk,4444
around,4423
since,4413
vaccine,4398
information,4396
give,4390
10,4372
made,4356
find,4353
part,4343
states,4342
stimulus,4342
face,4330
man,4304
chinese,4299
getting,4281
confirmed,4270
community,4269
week,4264
distancing,4239
quarantine,4234
needs,4228
staff,4196
economic,4160
post,4135
without,4124
20,4115
video,4091
case,4091
media,4090
watch,4079
done,4071
weeks,4032
job,4024
corona,3994
updates,3960
die,3959
real,3950
end,3935
ca,3897
stayhome,3893
god,3884
important,3882
put,3872
masks,3869
dr,3837
thing,3802
nhs,3785
human,3784
hit,3696
ve,3692
online,3678
open,3637
show,3633
wuhan,3630
house,3615
yet,3611
cut,3591
already,3588
businesses,3548
join,3534
big,3527
york,3520
article,3512
love,3510
youtube,3499
years,3492
city,3488
reported,3486
toll,3485
together,3485
sure,3472
using,3466
share,3459
south,3453
believe,3445
save,3432
far,3421
things,3413
report,3403
leaders,3402
healthcare,3395
anyone,3393
protect,3391
doctors,3355
ever,3342
story,3309
measures,3308
county,3297
govt,3296
month,3286
making,3284
emergency,3279
order,3271
homes,3253
others,3243
usa,3229
disease,3213
away,3206
american,3205
team,3191
local,3191
taking,3172
mask,3170
start,3159
numbers,3153
something,3145
someone,3144
change,3144
old,3132
nothing,3118
enough,3093
trying,3087
covid_19,3081
might,3077
national,3071
lab,3059
bill,3048
efforts,3042
plan,3040
organization,3037
continue,3036
bad,3028
sign,3011
fund,3010
top,3008
across,2998
essential,2993
hard,2991
name,2973
women,2945
deliver,2942
march,2936
always,2934
person,2916
infected,2898
app,2897
symptoms,2886
full,2884
learn,2871
hospitals,2868
cnn,2865
tell,2856
high,2851
ppe,2842
coming,2829
gov,2822
children,2800
blame,2796
study,2784
system,2777
governor,2775
research,2774
coronaviruspandemic,2774
small,2771
place,2769
situation,2760
pm,2747
checks,2745
per,2743
months,2735
delivered,2735
police,2714
treatment,2712
link,2710
saying,2708
true,2702
leadership,2695
yes,2690
service,2686
lot,2651
gt,2646
families,2639
act,2633
reports,2631
gop,2615
follow,2594
travel,2591
questions,2572
donald,2570
looking,2567
12,2566
early,2564
available,2564
experts,2545
including,2524
school,2521
flu,2512
copy,2507
tax,2504
soon,2502
less,2494
100,2492
11,2480
actually,2480
ll,2477
least,2475
dying,2473
little,2471
self,2465
thought,2461
usps,2453
contact,2452
signing,2446
feel,2437
rate,2435
briefing,2423
lost,2416
fighting,2409
everything,2408
30,2404
used,2395
related,2386
listen,2374
bbc,2372
wednesday,2370
nation,2362
needed,2355
minister,2351
services,2348
financial,2341
likely,2338
thousands,2338
oh,2335
makes,2334
students,2334
white,2333
helping,2332
sick,2327
anything,2327
shit,2322
market,2320
action,2311
wrong,2298
maybe,2297
called,2296
current,2295
dead,2286
future,2283
resources,2281
14,2278
population,2277
employees,2275
provide,2261
shows,2260
industry,2258
doctor,2248
federal,2247
breaking,2239
the,2226
rt,2224
nigeria,2221
decision,2218
control,2214
24,2211
based,2198
residents,2197
michigan,2196
point,2195
found,2192
remember,2184
restrictions,2183
patient,2179
recovered,2179
possible,2179
force,2171
wants,2165
dangerous,2165
scientists,2160
understand,2158
fact,2157
told,2151
ask,2144
members,2135
seen,2131
science,2130
safety,2129
companies,2127
despite,2113
three,2106
war,2101
africa,2097
info,2094
canada,2093
talk,2086
na,2085
set,2076
key,2074
advice,2072
press,2061
cause,2055
able,2054
whole,2047
power,2046
access,2043
united,2039
poor,2037
friends,2026
ago,2013
issues,2013
vote,2007
hear,2006
black,1991
hours,1989
california,1985
started,1983
increase,1979
different,1974
wait,1974
else,1964
group,1962
line,1961
party,1961
question,1957
close,1955
taken,1949
fuck,1948
normal,1943
guidelines,1936
reopen,1930
hands,1929
instead,1929
infection,1927
fake,1923
past,1922
given,1921
mean,1915
stupid,1909
front,1898
truth,1897
means,1893
isolation,1889
left,1887
political,1886
sad,1878
2019,1878
move,1878
kids,1878
air,1859
critical,1856
fear,1854
vulnerable,1852
seems,1851
common,1850
ways,1849
administration,1848
spreading,1844
second,1840
nursing,1835
leave,1831
citizens,1827
funds,1822
heart,1822
visit,1821
in,1819
return,1817
non,1815
sir,1814
affected,1814
worse,1810
interesting,1810
calls,1807
handling,1807
yesterday,1806
