words,ocurrences
panic,294
fear,1246
sad,895
mental,1485
mind,762
sorry,597
shame,467
hate,793
hell,683
bad,1818
feel,1364
feeling,460
shit,1217
worst,1136
worse,1520
blame,924
lonely,33
chaos,191
mad,211
ruined,106
anxiety,347
stress,557
stressed,72
phobia,6
shame,467
hurt,243
disorder,52
loneliness,74
turmoil,44
anger,95
horror,137
rage,68
fate,39
nervous,50
restless,4
depression,276
grief,100
worry,470
worried,903
angst,7
depressed,45
suicide,375
suffer,419
suffering,813
uncertainty,309
uneasy,6
sadness,38
afraid,289
alone,558
suicidal,31
mood,105
tension,22
anxious,63
desperate,224
dismal,11
exhausted,86
insecure,15
distress,49
distressed,14
frustration,57
disgusting,345
boredom,14
bored,71
insane,207
stupidity,150
bullshit,383
uncertain,102
displeased,0
uncomfortable,34
melancholy,8
overwhelmed,271
pessimistic,4
unhappy,30
upset,80
outrage,51
ass,466
damn,841
covidiot,63
terrify,3
terrified,51
terrifying,86
distrust,38
scare,192
scared,249
scaring,19
dread,12
failed,1112
failed,1112
failure,780
fuck,1047
fucking,862
miserable,62
regret,50
shock,164
shocked,140
negligence,243
betrayed,22
cry,103
crying,98
idiot,393
idiots,304
selfish,210
upheaval,19
mess,283
crisis,3256
horrible,316
violence,422
abuse,326
rape,127
stupid,872
