words,ocurrences
panic,38
fear,377
sad,234
mental,429
mind,163
sorry,273
shame,117
hate,151
hell,213
bad,531
feel,383
feeling,157
shit,323
worst,317
worse,350
blame,248
lonely,14
chaos,53
mad,62
ruined,18
anxiety,110
stress,94
stressed,21
phobia,3
shame,117
hurt,69
disorder,20
loneliness,19
turmoil,4
anger,30
horror,23
rage,42
fate,15
nervous,16
restless,2
depression,92
grief,44
worry,105
worried,106
angst,0
depressed,12
suicide,73
suffer,94
suffering,178
uncertainty,75
uneasy,1
sadness,2
afraid,121
alone,192
suicidal,9
mood,17
tension,6
anxious,16
desperate,61
dismal,1
exhausted,19
insecure,8
distress,25
distressed,2
frustration,7
disgusting,196
boredom,1
bored,26
insane,76
stupidity,56
bullshit,131
uncertain,28
displeased,0
uncomfortable,4
melancholy,0
overwhelmed,61
pessimistic,3
unhappy,4
upset,36
outrage,25
ass,113
damn,157
covidiot,17
terrify,2
terrified,17
terrifying,25
distrust,13
scare,60
scared,58
scaring,7
dread,4
failed,218
failed,218
failure,221
fuck,413
fucking,249
miserable,10
regret,17
shock,55
shocked,49
negligence,43
betrayed,3
cry,50
crying,37
idiot,127
idiots,127
selfish,94
upheaval,7
mess,67
crisis,770
horrible,65
violence,169
abuse,175
rape,41
stupid,299
