words,ocurrences
panic,328
fear,724
sad,700
mental,476
mind,382
sorry,768
shame,308
hate,365
hell,427
bad,961
feel,983
feeling,298
shit,859
worst,664
worse,778
blame,590
lonely,38
chaos,186
mad,120
ruined,50
anxiety,173
stress,361
stressed,72
phobia,7
shame,308
hurt,107
disorder,43
loneliness,39
turmoil,24
anger,62
horror,60
rage,46
fate,61
nervous,36
restless,2
depression,174
grief,81
worry,296
worried,735
angst,2
depressed,24
suicide,107
suffer,176
suffering,383
uncertainty,91
uneasy,3
sadness,22
afraid,165
alone,391
suicidal,19
mood,39
tension,19
anxious,56
desperate,73
dismal,12
exhausted,34
insecure,4
distress,38
distressed,6
frustration,21
disgusting,316
boredom,9
bored,32
insane,155
stupidity,131
bullshit,214
uncertain,59
displeased,0
uncomfortable,42
melancholy,2
overwhelmed,56
pessimistic,6
unhappy,11
upset,58
outrage,57
ass,310
damn,429
covidiot,48
terrify,4
terrified,28
terrifying,50
distrust,15
scare,93
scared,141
scaring,14
dread,17
failed,627
failed,627
failure,519
fuck,732
fucking,692
miserable,31
regret,29
shock,237
shocked,78
negligence,142
betrayed,14
cry,65
crying,49
idiot,296
idiots,350
selfish,250
upheaval,12
mess,153
crisis,1787
horrible,161
violence,170
abuse,108
rape,48
stupid,578
