word,count
the,90140
to,60303
of,49081
covid,47610
19,41291
in,40830
and,37095
covid19,28999
for,24661
is,24650
on,17493
coronavirus,15870
it,15062
you,14495
are,14004
this,13969
that,13851
at,12631
with,11878
from,11682
be,10957
have,10948
as,10554
cases,10240
vaccine,9985
we,9878
new,9599
has,9271
by,9005
not,8961
will,8331
amp,7620
people,7556
more,7551
pandemic,7529
all,7209
who,7143
they,6710
can,6261
your,6154
was,6020
india,5923
vaccination,5880
up,5792
no,5703
but,5410
about,5407
health,5330
been,5266
our,5087
if,4957
or,4923
so,4859
2021,4780
now,4742
what,4721
their,4693
us,4683
get,4655
may,4631
how,4547
vaccines,4419
an,4254
deaths,4121
out,4107
over,3997
one,3974
news,3964
just,3958
there,3901
after,3729
my,3580
do,3547
virus,3419
than,3381
today,3379
world,3285
31,3242
via,3239
day,3229
government,3160
like,3145
time,3091
first,3044
china,3027
vaccinated,3006
here,2962
when,2888
lockdown,2802
year,2797
against,2753
why,2743
should,2733
were,2719
its,2699
available,2677
he,2660
care,2615
don,2586
variant,2564
during,2558
restrictions,2553
last,2551
know,2548
only,2514
need,2496
uk,2436
please,2391
june,2389
says,2381
still,2372
country,2368
had,2357
many,2339
due,2329
wave,2303
help,2287
some,2230
said,2168
also,2168
05,2154
re,2137
which,2135
death,2131
them,2130
sign,2049
daily,2037
other,2008
variants,2003
these,1962
because,1961
state,1955
take,1949
appointments,1942
days,1903
second,1900
being,1896
even,1890
good,1889
lab,1881
into,1879
would,1862
me,1854
see,1850
doses,1822
near,1805
those,1798
00,1795
could,1794
go,1790
his,1783
since,1767
any,1741
reports,1740
total,1731
make,1724
work,1717
dose,1712
data,1711
ve,1695
most,1676
000,1662
test,1632
cvs,1627
public,1607
latest,1585
risk,1585
spread,1584
monday,1580
patients,1576
reported,1554
children,1548
well,1522
before,1502
let,1498
rate,1498
say,1480
back,1479
dr,1473
brazil,1461
then,1460
million,1453
read,1450
indian,1434
very,1432
home,1429
positive,1419
social,1407
2020,1403
live,1395
30,1385
support,1381
want,1380
did,1377
getting,1376
countries,1376
down,1375
case,1368
update,1363
made,1352
where,1346
free,1343
number,1340
report,1339
going,1334
govt,1331
12,1329
until,1324
two,1322
under,1317
hospital,1313
think,1310
travel,1307
right,1303
every,1300
life,1289
10,1288
24,1285
while,1279
wuhan,1278
medical,1270
safe,1249
got,1249
testing,1230
business,1225
must,1221
global,1215
thanks,1214
states,1213
too,1208
way,1207
died,1206
another,1203
per,1201
give,1184
week,1168
study,1160
workers,1154
again,1151
media,1129
stop,1128
times,1126
long,1118
canada,1117
everyone,1109
use,1109
pa,1104
trump,1102
yet,1093
am,1093
keep,1090
family,1085
chinese,1084
outbreak,1080
name,1079
around,1077
vietnam,1074
much,1070
next,1067
end,1064
infections,1059
population,1055
stay,1050
hope,1047
corona,1045
21,1040
tobacco,1027
18,1024
lives,1023
high,1023
years,1016
months,1009
america,1008
disease,1007
open,994
come,985
really,983
same,982
infection,980
aged,979
her,977
city,975
through,974
tests,973
ontario,973
system,971
mask,971
she,971
off,970
crisis,967
found,963
research,957
look,955
students,950
surge,950
full,948
argentina,948
impact,945
find,944
start,944
across,941
thank,939
nhs,938
confirmed,936
scientists,931
minister,930
great,928
origin,926
never,921
20,918
pm,915
already,913
information,910
100,908
amid,908
situation,905
fight,896
important,896
check,895
does,890
video,884
watch,883
south,883
community,879
active,876
third,870
response,868
victoria,867
pfizer,865
better,863
numbers,859
far,859
petition,848
national,847
part,847
11,845
weeks,844
50,843
major,843
hours,842
15,835
centre,835
face,833
without,826
visit,826
post,822
school,822
best,819
lost,818
delhi,808
top,798
toll,796
president,795
economy,794
evidence,794
updates,791
follow,788
big,788
done,785
working,785
given,782
month,777
fully,776
tested,774
continue,773
lowest,771
copa,771
staff,761
early,760
borisjohnson,756
australia,755
call,755
asking,753
current,752
gt,752
such,744
money,737
few,736
recovery,736
enough,736
greek,736
science,723
taking,721
doing,719
lifted,719
shot,718
man,713
needs,711
vaccinations,708
biden,705
both,702
add,700
local,700
healthcare,699
least,699
including,698
measures,691
court,688
real,686
show,685
didn,684
japan,684
ccp,681
change,680
market,679
story,677
jab,675
between,675
policy,675
related,672
effects,668
making,667
article,666
called,666
safety,663
immunity,663
despite,661
officials,661
received,659
ll,658
coming,656
protect,654
anyone,653
sir,652
county,649
quit,649
book,646
experts,644
memorial,644
doesn,644
masks,641
americans,638
learn,637
africa,637
remember,635
share,633
three,631
soon,630
01,630
side,629
person,629
less,627
online,626
symptoms,624
control,624
england,624
saying,623
cause,622
used,620
god,619
away,617
low,616
matthancock,615
delta,615
ever,614
love,612
provide,612
future,611
families,611
announced,609
yes,609
13,607
past,606
pmoindia,605
concerns,605
johnson,605
administered,605
team,604
md,603
put,601
breaking,600
own,600
anti,600
06,599
millions,598
kids,598
believe,597
thing,595
16,595
always,595
14,593
nation,592
likely,590
hospitals,589
lakh,588
having,588
treatment,588
link,587
astrazeneca,584
narendramodi,583
rise,583
infected,583
according,582
moved,582
others,580
old,579
increase,579
signed,578
nothing,577
truth,577
below,577
theory,576
quarantine,576
place,576
weekend,575
among,574
created,574
isn,574
pause,574
things,573
pay,572
single,572
origins,571
effective,568
following,567
17,566
mondaythoughts,565
using,563
told,562
2019,561
possible,559
sure,558
economic,557
him,556
sars,554
human,553
join,553
youtube,551
normal,551
won,551
fact,550
almost,550
2nd,550
yesterday,548
april,548
march,548
american,547
united,547
based,546
higher,545
oxygen,545
lot,545
till,545
drug,544
employees,541
residents,541
covid_19,541
fauci,540
plan,540
rates,539
doctors,538
cdc,535
district,532
decision,530
citizens,529
non,529
order,528
summer,528
food,527
hit,526
reorganisation,526
looking,525
group,525
age,525
level,525
usa,525
covidvaccine,524
education,523
22,520
job,519
schools,518
1st,517
save,516
further,514
severe,513
flu,511
80,511
dangerous,511
sunday,509
together,507
project,507
something,506
details,506
ministry,505
contact,504
services,503
everything,502
emergency,502
province,501
worst,501
shows,499
access,499
blood,498
true,497
drive,497
set,497
different,496
modi,495
able,495
natural,495
left,493
federal,492
wait,491
service,490
might,489
records,487
leak,486
list,484
war,481
bad,480
names,480
date,477
point,477
relief,473
source,472
issues,472
members,471
fear,470
avoid,470
seen,469
reporting,466
women,465
26,463
tell,461
vaccinate,459
central,459
wrong,458
official,457
shots,456
become,456
spreading,455
within,455
taken,455
nearly,454
rules,453
etc,453
dead,453
feel,451
industry,451
boris,451
caused,450
oh,450
came,449
heart,449
allowed,449
issue,449
international,448
die,446
receive,446
growth,445
worldnotobaccoday,443
close,443
actually,442
3rd,442
whole,440
started,438
friends,438
understand,437
28,436
someone,436
recoveries,435
info,435
history,433
positivity,432
recorded,432
moderna,431
coronaviruspandemic,430
closed,430
guidelines,430
27,430
spike,429
singapore,428
led,428
political,427
cov,426
body,426
air,426
hard,425
act,423
immune,421
digital,421
gov,419
protection,417
covid19india,416
businesses,416
event,415
police,415
vax,415
continues,415
40,414
once,413
wear,412
each,410
prevent,410
private,409
chief,409
small,409
strain,407
term,407
parents,407
alphabet,407
took,406
pakistan,404
trying,404
currently,403
detected,403
doctor,402
claims,402
worse,402
region,401
medicine,400
happen,400
mental,400
ones,400
tomorrow,398
concern,397
mass,396
exam,394
recovered,394
25,393
questions,393
key,393
highest,392
suggests,392
29,391
affected,391
crypto,391
killed,390
app,389
administration,387
host,387
seems,386
talk,385
hybrid,385
little,385
smoking,384
mohfw_india,383
exams,383
financial,383
staysafe,381
negative,381
self,380
register,380
plans,379
matter,378
return,377
happy,377
warns,376
dying,375
reason,375
eligible,374
covid19vic,373
needed,373
instead,373
90,373
ago,373
yourself,372
black,371
known,370
view,370
action,370
mean,370
worldwide,369
efforts,369
former,368
patient,368
sense,368
appointment,368
especially,367
pcr,366
lockdowns,366
makes,366
recent,365
anything,365
fighting,365
common,363
serious,363
peru,363
expert,361
technology,361
results,361
thousands,361
malaysia,360
extended,360
means,359
area,359
wearing,359
comes,359
wuhanvirus,358
gets,356
drharshvardhan,355
question,355
leaders,354
fake,353
companies,353
france,353
cnn,353
strains,352
sites,351
scientist,351
half,350
fall,349
areas,349
line,349
lead,349
morning,349
longer,348
remain,348
auspol,348
rs,347
homes,347
house,347
52,346
viral,346
game,345
cover,344
board,344
kenya,344
politics,343
thought,343
problem,343
facebook,343
ask,343
maybe,342
behind,341
department,340
meeting,339
unvaccinated,339
essential,339
though,338
party,338
finally,338
program,338
approved,338
large,336
try,336
result,335
icu,334
mandatory,334
potus,334
letters,334
maharashtra,333
record,333
development,333
general,333
bring,332
adults,332
awareness,331
jabs,331
power,330
young,330
whether,330
investigation,329
center,328
huge,327
effect,327
several,326
américa,326
offer,326
entire,325
rollout,324
authorities,323
critical,323
russia,323
price,323
complete,322
violence,322
sick,321
chance,321
hear,321
member,321
average,320
cm,320
60,320
plus,320
facts,319
transmission,319
forced,319
rest,319
count,319
drop,319
additional,318
move,318
toronto,318
dogs,318
process,317
worldnotobaccoday2021,315
however,315
survey,315
giving,314
supply,314
responsible,314
website,314
management,314
memorialday2021,314
twitter,313
taiwan,313
funded,312
allow,311
smokers,311
hands,311
clinical,311
conspiracy,309
demand,309
cancer,308
living,308
thread,308
haven,308
studies,307
distancing,307
special,306
later,305
loved,305
healthy,305
foreign,304
suffering,303
hold,303
shit,303
growing,303
law,303
fresh,303
beyond,303
communities,303
cancelboardexam2021,302
zero,301
four,301
idea,301
ensure,301
request,301
calls,301
texas,300
late,299
class,299
45,299
fda,298
rt,297
ahead,296
events,296
along,295
decline,295
indiafightscorona,295
analysis,295
waiting,295
users,295
buy,295
front,294
bjp,294
university,294
intelligence,294
york,294
office,292
held,292
hi,291
site,290
aren,290
justice,290
cost,290
617,290
pradesh,289
either,289
interesting,289
reuters,289
poor,289
facilities,288
54,288
ivermectin,287
tweet,287
novel,287
kill,286
delay,286
freedom,286
fuck,285
else,285
diseases,284
run,284
stupid,284
increasing,284
listen,283
published,283
scientific,283
course,283
step,283
mumbai,282
military,282
fans,282
vulnerable,282
deadly,282
funding,281
starting,280
forward,280
covishield,280
thailand,280
review,280
rajasthan,279
border,279
trust,279
mortality,279
vs,279
naming,279
figures,279
bank,279
07,278
force,278
cannot,278
lies,278
five,277
gop,277
calling,276
tokyo,276
olympics,276
increased,276
period,276
shut,275
billion,275
crore,275
ways,274
ongoing,274
70,273
child,273
ok,272
press,272
boost,271
clear,271
potential,270
company,270
reopening,270
july,270
woman,270
bit,270
melbourne,269
campaign,269
short,269
west,269
deal,269
british,269
click,269
holiday,269
ndtv,268
win,268
dies,268
status,267
51,266
gone,266
clots,266
head,266
happening,266
expected,265
wants,265
ready,265
released,265
lower,264
48,264
eu,264
talking,264
stats,264
outside,264
mentalhealth,264
reach,263
antibody,263
dear,263
works,263
rising,262
kind,262
protocols,262
fordnation,262
nepal,262
earlier,262
supreme,261
organization,261
levels,261
leader,261
challenges,261
gdp,261
2022,261
thirdwave,261
developing,260
23,260
mrna,260
leave,259
developed,259
wonder,259
insight,259
stigma,259
flights,258
agree,258
antibodies,258
amazing,258
above,257
looks,257
play,257
ai,257
trials,257
fine,256
prime,256
experience,256
florida,256
biggest,256
required,256
role,255
address,255
leaked,255
institute,254
commit,254
tuesday,254
failed,254
regarding,253
paid,253
tv,253
lack,252
leadership,252
33,252
odisha,251
linked,251
require,251
funds,251
stayhome,251
groups,251
ministers,251
opening,251
ppl,250
probably,250
themselves,250
beginning,250
mark,250
proof,250
memorialday,250
sector,249
personal,249
super,249
happened,248
killing,248
playing,248
gives,247
sarscov2,247
ban,246
union,246
largest,246
society,245
turn,245
facing,245
wake,245
99,245
viruses,244
200,244
seriously,244
co,244
committoquit,243
white,243
humans,243
airport,243
effort,242
prevention,242
older,242
recently,241
alpha,241
cancel,240
highly,240
easy,239
rural,239
mind,239
yan,239
rapid,239
jobs,238
500,238
insurance,238
opportunity,238
african,238
initiative,237
six,237
advice,237
slow,237
fucking,237
israel,237
blame,237
exposure,236
imposed,236
leading,236
asia,235
forget,235
handling,235
congress,234
isolation,234
rights,234
manitoba,234
sorry,234
answer,233
curfew,233
asked,233
47,232
covidsecondwave,232
changed,232
tried,232
taxpayers,232
release,232
morrison,231
ireland,231
construction,231
germany,230
individuals,230
announces,230
create,230
lie,230
football,229
pass,229
saw,229
updated,229
california,229
stand,229
guys,228
stories,228
claim,228
abc,228
moving,228
significant,227
difficult,227
addiction,227
capacity,227
31st,227
rather,226
named,226
trending,226
youth,226
reduce,226
absolutely,226
uses,226
stages,226
statement,225
security,225
conmebol,224
un,224
condition,224
false,224
passports,224
centres,224
lol,224
red,223
begin,223
download,223
clinic,223
usafacts,223
coviddata,223
multiple,222
helping,222
phase,222
visualizations,222
outbreaks,221
35,221
goes,221
student,221
experimental,221
notobaccoday,221
56,220
protein,220
election,220
bill,220
complications,220
covidvislualizations,220
smcanalytics,220
retweet,219
pregnant,219
aid,219
strong,219
light,219
loss,218
guess,218
learning,218
discuss,218
brought,218
kindly,218
opinion,218
risks,217
benefits,217
trudeau,217
places,217
expect,216
income,216
passed,216
paper,216
went,216
resources,216
message,216
completely,215
gave,215
seeing,215
sharing,215
trends,215
38,214
extends,214
04,214
earth,214
fast,214
strategy,214
threat,214
director,214
hand,213
policies,213
turkey,212
fund,212
plea,211
domestic,211
veterans,211
easing,211
respiratory,210
teachers,210
double,210
advance,210
focus,209
college,209
joe,209
alone,209
meet,209
european,209
drrpnishank,208
32,208
bitcoin,208
night,208
friday,208
trial,208
discharges,207
donate,207
keeping,207
cancelled,207
virtual,207
friend,207
easier,207
joebiden,207
shame,206
identified,206
seeking,206
hoax,206
conducted,206
mid,206
gonna,206
originated,206
simple,206
london,206
production,205
guardian,205
telangana,205
sa,205
adverse,205
tech,204
words,204
flight,204
ccpvirus,203
philippines,203
reviewed,203
percent,203
progress,203
exactly,203
warning,203
detects,202
delayed,202
break,202
shortage,202
present,201
north,201
propaganda,201
ease,201
army,201
admitted,201
hey,200
note,200
registration,200
priority,200
lines,200
bihar,200
wasn,199
breakingnews,199
send,199
europe,199
massive,199
politicians,199
activities,199
spending,199
providing,199
supremecourt,199
account,199
season,199
changes,198
reality,198
44,198
thinking,198
page,198
bbc,198
hamidmir,198
problems,197
inside,197
karnataka,197
cold,197
allows,197
bc,196
walk,196
water,195
towards,195
ill,195
researchers,195
guangzhou,195
running,195
form,195
lungdiseasepublic,195
provided,194
apply,194
clinics,194
folks,194
regional,194
beta,194
734,193
wouldn,193
ji,193
governments,193
beds,193
pre,193
mr,193
throughout,193
cdnpoli,192
39,192
capital,192
reached,192
deputy,192
booster,192
kerala,192
ford,192
discovered,192
peer,191
rahulgandhi,191
attention,191
worth,191
knew,191
solution,191
example,191
75,191
difference,191
illinois,191
samples,190
conditions,190
consider,190
guidance,190
airborne,190
showing,190
majority,190
foxnews,189
choice,189
precautions,189
sad,189
fears,189
wanted,189
speed,189
1hazirandanitibaren,189
planning,188
lee,188
128,187
function,187
takes,187
helped,187
nice,187
telling,187
sc,187
misinformation,186
worried,186
asian,186
guy,186
prove,186
mild,186
cent,186
requiring,186
agency,186
none,185
impacted,185
nytimes,185
wow,185
interview,185
products,185
