words,ocurrences
panic,285
fear,893
sad,778
mental,626
mind,547
sorry,770
shame,470
hate,543
hell,746
bad,1507
feel,1307
feeling,469
shit,1533
worst,904
worse,1254
blame,834
lonely,54
chaos,252
mad,216
ruined,159
anxiety,205
stress,244
stressed,48
phobia,5
shame,470
hurt,202
disorder,20
loneliness,44
turmoil,11
anger,115
horror,54
rage,71
fate,37
nervous,49
restless,2
depression,110
grief,118
worry,479
worried,705
angst,5
depressed,23
suicide,187
suffer,274
suffering,733
uncertainty,108
uneasy,7
sadness,34
afraid,275
alone,656
suicidal,14
mood,58
tension,13
anxious,51
desperate,219
dismal,9
exhausted,91
insecure,11
distress,42
distressed,3
frustration,33
disgusting,403
boredom,9
bored,37
insane,322
stupidity,187
bullshit,444
uncertain,52
displeased,0
uncomfortable,26
melancholy,1
overwhelmed,163
pessimistic,4
unhappy,15
upset,123
outrage,53
ass,540
damn,650
covidiot,99
terrify,7
terrified,132
terrifying,149
distrust,58
scare,176
scared,249
scaring,30
dread,11
failed,792
failed,792
failure,517
fuck,1837
fucking,1415
miserable,54
regret,38
shock,83
shocked,124
negligence,270
betrayed,13
cry,117
crying,152
idiot,371
idiots,353
selfish,440
upheaval,10
mess,294
crisis,1934
horrible,267
violence,157
abuse,138
rape,20
stupid,845
