words,ocurrences
panic,457
fear,1550
sad,1233
mental,1361
mind,1065
sorry,1206
shame,609
hate,1077
hell,1090
bad,2801
feel,2175
feeling,671
shit,2165
worst,2008
worse,2264
blame,1330
lonely,38
chaos,294
mad,318
ruined,146
anxiety,551
stress,854
stressed,148
phobia,10
shame,609
hurt,378
disorder,105
loneliness,61
turmoil,36
anger,147
horror,147
rage,258
fate,59
nervous,116
restless,8
depression,366
grief,136
worry,809
worried,716
angst,15
depressed,79
suicide,206
suffer,461
suffering,823
uncertainty,396
uneasy,14
sadness,54
afraid,499
alone,1007
suicidal,29
mood,140
tension,36
anxious,113
desperate,272
dismal,30
exhausted,80
insecure,29
distress,138
distressed,24
frustration,65
disgusting,381
boredom,21
bored,83
insane,310
stupidity,447
bullshit,457
uncertain,174
displeased,1
uncomfortable,98
melancholy,2
overwhelmed,288
pessimistic,20
unhappy,29
upset,145
outrage,92
ass,883
damn,1262
covidiot,303
terrify,6
terrified,91
terrifying,181
distrust,36
scare,248
scared,534
scaring,29
dread,24
failed,1311
failed,1311
failure,1253
fuck,1649
fucking,1625
miserable,52
regret,185
shock,208
shocked,245
negligence,246
betrayed,26
cry,194
crying,162
idiot,928
idiots,519
selfish,394
upheaval,24
mess,408
crisis,6599
horrible,332
violence,679
abuse,326
rape,62
stupid,2019
